aggregation_level,group_id,study_id,project_id,source_file_count,window_count,true_box_count,empty_image_count,single_box_image_count,multi_box_image_count,seed_positive_count,seed_negative_count,seed_positive_rate,instrument,instrument_family,column,polarity,box_width_mean,box_width_median,box_width_p05,box_width_p95,box_height_mean,box_height_median,snr_mean,snr_median,snr_p05,snr_p95,SNR_missing_rate,CV_missing_rate,GS_missing_rate,TPAS_missing_rate,H2B_missing_rate,ZZ_missing_rate,DZZ_missing_rate,PCC_missing_rate,SKEW_missing_rate,DENT_missing_rate,DM_missing_rate,ENT_missing_rate,JAG_missing_rate
study,自采,自采,unknown,1,1000,923,379,393,228,443,557,0.443,Agilent 6546 QTOF,Agilent QTOF,unknown,positive,66.6239457073775,63.289433405219256,35.669904691188975,104.23728813559322,264.39650105280276,319.3993558776167,2.2906911913385963,2.163007790819854,1.3267706946494036,3.760847638417478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
condition_domain,DG01,ST001873,PR001182,5,2562,4190,438,969,1155,2043,519,0.797423887587822,SCIEX 5600+ TripleTOF,SCIEX TripleTOF,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",positive,43.37227873231786,36.500646692153666,14.677590719649242,96.62030790713567,209.15933635980514,316.65459391590645,3.1544445307276865,3.091527814025899,2.0387955908786948,4.554242288934294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
condition_domain,DG02,ST002135,PR001352,1,683,869,58,432,193,625,58,0.9150805270863837,SCIEX 5600+ TripleTOF,SCIEX TripleTOF,"Waters Acquity BEH HSS T3 (100 × 2.1 mm, 1.8 µm)",negative,85.87383803051358,77.6888341217813,27.697087697143992,170.2305856986793,265.3728464373976,319.39935587761676,2.9582732626568453,2.924051465302182,1.7906253790683797,4.1515704575168435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
condition_domain,DG03,ST002135,PR001352,1,749,1051,63,426,260,685,64,0.9145527369826435,SCIEX 5600+ TripleTOF,SCIEX TripleTOF,"Waters Acquity BEH HSS T3 (100 × 2.1 mm, 1.8 µm)",positive,93.65339213536787,79.64163129045596,34.11239362137408,215.1451741202747,255.27010480890473,319.3993558776167,2.7988640984347044,2.79238385926394,1.6779074382110755,3.9364700635607237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
condition_domain,DG04,ST002162,PR001375,2,1027,1429,30,697,300,994,33,0.9678675754625121,Agilent 6545 QTOF,Agilent QTOF,"Waters ACQUITY UPLC CSH C18 (100 × 2.1 mm, 1.7 µm)",positive,66.26856417545277,58.06451612903223,23.169404606088683,134.5239812504613,249.83492811081632,319.39935587761676,2.981663525804775,2.894476049728856,1.9239798657191995,4.358395330015296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
condition_domain,DG05,ST002903,PR001807,1,465,258,298,97,70,161,304,0.34623655913978496,Thermo Exactive Plus Orbitrap,Thermo Exactive Orbitrap,Waters ACQUITY UPLC BEH C8,positive,31.85141849517909,25.937758974054248,15.127805396211143,60.60687334575253,259.996230815852,319.3993558776167,2.595640306295668,2.5046691416992783,1.6284042729751325,3.8481391582744435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
condition_domain,DG06,ST002903,PR001807,1,502,217,331,130,41,166,336,0.33067729083665337,Thermo Q Exactive Plus Orbitrap,Thermo Exactive Orbitrap,Phenomenex Luna NH2,negative,72.70470587778773,54.57237741451621,23.710426311303788,172.51930896849797,289.2984655507324,319.39935587761676,2.4161161523107957,2.339995480853156,1.4995258191838166,3.6650548132392813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
condition_domain,DG07,ST003127,PR001944,1,506,205,355,106,45,138,368,0.2727272727272727,Thermo Q Exactive Orbitrap,Thermo Exactive Orbitrap,"Imtakt Cadenza CD-C18 (150 × 2.1 mm, 3 µm)",negative,60.60105411113314,50.000000000000256,17.956479616545938,146.31679984003404,268.80742669291664,319.39935587761676,2.592879910105346,2.414771393165941,1.4574750857071246,4.229989534603251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
condition_domain,DG08,ST003127,PR001944,1,488,264,306,120,62,174,314,0.35655737704918034,Thermo Q Exactive Orbitrap,Thermo Exactive Orbitrap,"Imtakt Cadenza CD-C18 (150 × 2.1 mm, 3 µm)",positive,63.13401422704451,53.8888888888892,16.5556700083958,140.55555555555583,255.9772148899902,319.39935587761676,2.630267509414462,2.451549893020428,1.4310821796103195,4.291056887086848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
condition_domain,DG09,ST003220,PR002008,1,521,843,23,268,230,494,27,0.9481765834932822,Agilent 6545 QTOF,Agilent QTOF,"Waters ACQUITY UPLC CSH C18 (100 × 2.1 mm, 1.7 µm)",negative,70.44246688818282,65.98749773724231,26.31424183066037,129.51113766683457,232.76027224833652,319.3993558776167,2.508497478418642,2.4816017376751565,1.480599200912379,3.5068344638985054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
condition_domain,DG10,ST003220,PR002008,1,519,1084,1,200,318,513,6,0.9884393063583815,Agilent 6545 QTOF,Agilent QTOF,"Waters ACQUITY UPLC CSH C18 (100 × 2.1 mm, 1.7 µm)",positive,58.913639736670255,53.23189410997601,23.1478074850738,111.48235093300535,198.2171242225875,228.5129054448005,2.8177713739216794,2.6704669912326184,1.845787674710072,4.415761773801819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
condition_domain,DG11,ST003514,PR002159,3,1097,1223,268,536,293,815,282,0.7429352780309936,Agilent 6545 QTOF,Agilent QTOF,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",negative,56.538123162668114,47.777777777777914,19.812373417010914,119.88945557929455,260.65305058066303,319.39935587761676,2.742214677113757,2.548605445217241,1.506231494495685,4.62773392980647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
condition_domain,DG12,ST003514,PR002159,3,1533,2523,334,455,744,1174,359,0.7658186562296151,Agilent 6545 QTOF,Agilent QTOF,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",positive,55.581910802386886,47.793348331918025,20.786516853932596,113.31153243626845,202.44323598898904,258.7292458456314,2.8447147050342556,2.6948546145258767,1.518745232705651,4.712450929546822,0.0,0.0,0.0,0.0,0.002609262883235486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
condition_domain,DG13,ST003792,PR002369,1,520,602,26,394,100,489,31,0.9403846153846154,Thermo Q Exactive Orbitrap,Thermo Exactive Orbitrap,"Phenomenex Kinetex C18 (30 × 2.1 mm, 1.7 µm)",negative,51.39359137550055,39.2888372339432,15.72389011486671,133.3018433396666,272.7474383891539,319.39935587761676,3.5616631202591864,3.3814855430130937,1.7665970568910834,5.625273872528125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
condition_domain,DG14,ST003792,PR002369,1,516,694,20,343,153,496,20,0.9612403100775194,Thermo Q Exactive Orbitrap,Thermo Exactive Orbitrap,"Phenomenex Kinetex C18 (30 × 2.1 mm, 1.7 µm)",positive,52.71492707973036,43.43145608826441,17.727382833207077,119.4520764372387,247.57348900589923,319.39935587761676,3.5955356604538236,3.4127599548335525,2.170027467723635,5.941850368919105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
condition_domain,DG15,ST003941,PR002470,3,1610,1241,627,788,195,966,644,0.6,Thermo Orbitrap ID-X Tribrid,Thermo Orbitrap Tribrid,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",positive,30.688932515884424,21.489436765902553,11.797752808988776,76.3677543484443,280.20294745622266,319.39935587761676,2.4103157507456996,2.34191179499855,1.2851609210132753,3.6590434143504496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
condition_domain,DG16,ST004085,PR002564,2,1019,959,363,424,232,644,375,0.6319921491658489,Agilent 6546 QTOF,Agilent QTOF,"Waters ACQUITY UPLC HSS T3 (100 × 2.1 mm, 1.8 µm)",negative,65.10858803162238,59.139784946236716,25.261594334713674,139.88489324180026,251.8180241649168,319.39935587761676,2.673307178070433,2.596945079678693,1.481283054063917,3.9919339414045654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
condition_domain,DG17,自采,unknown,1,1000,923,379,393,228,443,557,0.443,Agilent 6546 QTOF,Agilent QTOF,unknown,positive,66.6239457073775,63.289433405219256,35.669904691188975,104.23728813559322,264.39650105280276,319.3993558776167,2.2906911913385963,2.163007790819854,1.3267706946494036,3.760847638417478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
