source_file,study_id,project_id,instrument_id,instrument_family,instrument_serial,column_id,chromatography_type,lc_system,polarity,analysis_id,domain_id,data_source,dataset_name,sample_type,doi,official_url,metadata_source,metadata_note
AG-88-11_r12-,ST003792,PR002369,Thermo Q Exactive Orbitrap,Thermo Exactive Orbitrap,Exactive Series slot #1,"Phenomenex Kinetex C18 (30 × 2.1 mm, 1.7 µm)",Reversed phase,Thermo Vanquish,negative,AN006233；AN006234,DG13,Metabolomics Workbench,Untargeted lipidomics characterization of blood samples from patients with maple syrup urine disease (MSUD) in comparison to healthy controls,人全血,10.21228/M8DR7V,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003792,sheet_data.json; https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003792,File-level instrument/polarity mapping; 本地文件为 AG-88-11 的不同离子模式/重复
AG-88-11_r2+,ST003792,PR002369,Thermo Q Exactive Orbitrap,Thermo Exactive Orbitrap,Exactive Series slot #1,"Phenomenex Kinetex C18 (30 × 2.1 mm, 1.7 µm)",Reversed phase,Thermo Vanquish,positive,AN006233；AN006234,DG14,Metabolomics Workbench,Untargeted lipidomics characterization of blood samples from patients with maple syrup urine disease (MSUD) in comparison to healthy controls,人全血,10.21228/M8DR7V,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003792,sheet_data.json; https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003792,File-level instrument/polarity mapping; 本地文件为 AG-88-11 的不同离子模式/重复
Blood-15V,ST001873,PR001182,SCIEX 5600+ TripleTOF,SCIEX TripleTOF,BN20581211,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",Reversed phase,unknown,positive,unknown,DG01,Metabolomics Workbench,Metabolomics analysis of multiple samples on AB 5600-Part 1,血液 / 尿液 / HepG2 细胞,10.21228/M8XD6P,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001873,sheet_data.json; https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001873,File-level instrument/polarity mapping; HepG2-30V 有一份处理目录副本；色谱柱信息由用户补充。
Blood-30V,ST001873,PR001182,SCIEX 5600+ TripleTOF,SCIEX TripleTOF,BN20581211,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",Reversed phase,unknown,positive,unknown,DG01,Metabolomics Workbench,Metabolomics analysis of multiple samples on AB 5600-Part 1,血液 / 尿液 / HepG2 细胞,10.21228/M8XD6P,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001873,sheet_data.json; https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001873,File-level instrument/polarity mapping; HepG2-30V 有一份处理目录副本；色谱柱信息由用户补充。
D03P_POS,ST003514,PR002159,Agilent 6545 QTOF,Agilent QTOF,SG1734E101,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",Reversed phase,Agilent 1290 Infinity II,positive,AN005769；AN005770,DG12,Metabolomics Workbench,Highly reliable LC-MS lipidomics database for efficient human plasma profiling based on NIST SRM 1950,人血浆 / NIST SRM 1950,10.21228/M8JK0Q,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003514,sheet_data.json; https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003514,File-level instrument/polarity mapping; NIST_Full scan_1_POS 有两份同名本地副本
D04P_NEG,ST003514,PR002159,Agilent 6545 QTOF,Agilent QTOF,SG1734E101,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",Reversed phase,Agilent 1290 Infinity II,negative,AN005769；AN005770,DG11,Metabolomics Workbench,Highly reliable LC-MS lipidomics database for efficient human plasma profiling based on NIST SRM 1950,人血浆 / NIST SRM 1950,10.21228/M8JK0Q,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003514,sheet_data.json; https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003514,File-level instrument/polarity mapping; NIST_Full scan_1_POS 有两份同名本地副本
D06P_POS,ST003514,PR002159,Agilent 6545 QTOF,Agilent QTOF,SG1734E101,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",Reversed phase,Agilent 1290 Infinity II,positive,AN005769；AN005770,DG12,Metabolomics Workbench,Highly reliable LC-MS lipidomics database for efficient human plasma profiling based on NIST SRM 1950,人血浆 / NIST SRM 1950,10.21228/M8JK0Q,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003514,sheet_data.json; https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003514,File-level instrument/polarity mapping; NIST_Full scan_1_POS 有两份同名本地副本
D07P_NEG,ST003514,PR002159,Agilent 6545 QTOF,Agilent QTOF,SG1734E101,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",Reversed phase,Agilent 1290 Infinity II,negative,AN005769；AN005770,DG11,Metabolomics Workbench,Highly reliable LC-MS lipidomics database for efficient human plasma profiling based on NIST SRM 1950,人血浆 / NIST SRM 1950,10.21228/M8JK0Q,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003514,sheet_data.json; https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003514,File-level instrument/polarity mapping; NIST_Full scan_1_POS 有两份同名本地副本
HepG2-30V,ST001873,PR001182,SCIEX 5600+ TripleTOF,SCIEX TripleTOF,BN20581211,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",Reversed phase,unknown,positive,unknown,DG01,Metabolomics Workbench,Metabolomics analysis of multiple samples on AB 5600-Part 1,血液 / 尿液 / HepG2 细胞,10.21228/M8XD6P,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001873,sheet_data.json; https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001873,File-level instrument/polarity mapping; HepG2-30V 有一份处理目录副本；色谱柱信息由用户补充。
HetCD_mixneg,ST003127,PR001944,Thermo Q Exactive Orbitrap,Thermo Exactive Orbitrap,Exactive Series slot #1360,"Imtakt Cadenza CD-C18 (150 × 2.1 mm, 3 µm)",Reversed phase,Thermo Vanquish,negative,AN005126；AN005127,DG07,Metabolomics Workbench,Effect of high fat diet on heart lipidome in CHCHD10 mutant mice,小鼠心脏,10.21228/M8FD9G,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003127,sheet_data.json; https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003127,File-level instrument/polarity mapping; 无明显冲突
NIST_Full scan_1_POS,ST003514,PR002159,Agilent 6545 QTOF,Agilent QTOF,SG1734E101,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",Reversed phase,Agilent 1290 Infinity II,positive,AN005769；AN005770,DG12,Metabolomics Workbench,Highly reliable LC-MS lipidomics database for efficient human plasma profiling based on NIST SRM 1950,人血浆 / NIST SRM 1950,10.21228/M8JK0Q,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003514,sheet_data.json; https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003514,File-level instrument/polarity mapping; NIST_Full scan_1_POS 有两份同名本地副本
NIST_Full scan_2_NEG,ST003514,PR002159,Agilent 6545 QTOF,Agilent QTOF,SG1734E101,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",Reversed phase,Agilent 1290 Infinity II,negative,AN005769；AN005770,DG11,Metabolomics Workbench,Highly reliable LC-MS lipidomics database for efficient human plasma profiling based on NIST SRM 1950,人血浆 / NIST SRM 1950,10.21228/M8JK0Q,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003514,sheet_data.json; https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003514,File-level instrument/polarity mapping; NIST_Full scan_1_POS 有两份同名本地副本
Sphingolipid-BTSPT-Cell-pellet_1,ST003941,PR002470,Thermo Orbitrap ID-X Tribrid,Thermo Orbitrap Tribrid,fsn30010,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",Reversed phase,Shimadzu Nexera X2,positive,AN006477,DG15,Metabolomics Workbench,Lipidomic analysis of Bacteroides thetaiotaomicron WT vs SPT KO (sphingolipid-deficient) outer membrane vesicles (OMVs) and whole cells.,细菌细胞 / OMVs,10.21228/M8C82T,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003941,sheet_data.json; https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003941,File-level instrument/polarity mapping; 官方本地样本 ID 使用 BTSPTWC/BTSPTOMV 等缩写，与文件名语义一致
Sphingolipid-BTSPT-OMV_1,ST003941,PR002470,Thermo Orbitrap ID-X Tribrid,Thermo Orbitrap Tribrid,fsn30010,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",Reversed phase,Shimadzu Nexera X2,positive,AN006477,DG15,Metabolomics Workbench,Lipidomic analysis of Bacteroides thetaiotaomicron WT vs SPT KO (sphingolipid-deficient) outer membrane vesicles (OMVs) and whole cells.,细菌细胞 / OMVs,10.21228/M8C82T,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003941,sheet_data.json; https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003941,File-level instrument/polarity mapping; 官方本地样本 ID 使用 BTSPTWC/BTSPTOMV 等缩写，与文件名语义一致
Sphingolipid-BTWT-Cell-pellet_1,ST003941,PR002470,Thermo Orbitrap ID-X Tribrid,Thermo Orbitrap Tribrid,fsn30010,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",Reversed phase,Shimadzu Nexera X2,positive,AN006477,DG15,Metabolomics Workbench,Lipidomic analysis of Bacteroides thetaiotaomicron WT vs SPT KO (sphingolipid-deficient) outer membrane vesicles (OMVs) and whole cells.,细菌细胞 / OMVs,10.21228/M8C82T,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003941,sheet_data.json; https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003941,File-level instrument/polarity mapping; 官方本地样本 ID 使用 BTSPTWC/BTSPTOMV 等缩写，与文件名语义一致
Urine-15V,ST001873,PR001182,SCIEX 5600+ TripleTOF,SCIEX TripleTOF,BN20581211,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",Reversed phase,unknown,positive,unknown,DG01,Metabolomics Workbench,Metabolomics analysis of multiple samples on AB 5600-Part 1,血液 / 尿液 / HepG2 细胞,10.21228/M8XD6P,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001873,sheet_data.json; https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001873,File-level instrument/polarity mapping; HepG2-30V 有一份处理目录副本；色谱柱信息由用户补充。
Urine-30V,ST001873,PR001182,SCIEX 5600+ TripleTOF,SCIEX TripleTOF,BN20581211,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",Reversed phase,unknown,positive,unknown,DG01,Metabolomics Workbench,Metabolomics analysis of multiple samples on AB 5600-Part 1,血液 / 尿液 / HepG2 细胞,10.21228/M8XD6P,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001873,sheet_data.json; https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST001873,File-level instrument/polarity mapping; HepG2-30V 有一份处理目录副本；色谱柱信息由用户补充。
WTHFD_mixpos,ST003127,PR001944,Thermo Q Exactive Orbitrap,Thermo Exactive Orbitrap,Exactive Series slot #1360,"Imtakt Cadenza CD-C18 (150 × 2.1 mm, 3 µm)",Reversed phase,Thermo Vanquish,positive,AN005126；AN005127,DG08,Metabolomics Workbench,Effect of high fat diet on heart lipidome in CHCHD10 mutant mice,小鼠心脏,10.21228/M8FD9G,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003127,sheet_data.json; https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST003127,File-level instrument/polarity mapping; 无明显冲突
frag1_pos20_1,自采,unknown,Agilent 6546 QTOF,Agilent QTOF,SG2402E203,unknown,unknown,unknown,positive,unknown,DG17,自有数据,frag1 自采数据（非公开数据集）,unknown,unknown,本地自采,sheet_data.json; 本地自采,File-level instrument/polarity mapping; 无待确认项。
