source_file,scope,mapping_status,excel_match_count,duplicate_nonconflicting,conflict_fields,study_id,instrument_id,column_id,polarity,audit_note
HetCD_mixneg,formal_manifest,matched,1,0,,ST003127,Thermo Q Exactive Orbitrap,"Imtakt Cadenza CD-C18 (150 × 2.1 mm, 3 µm)",negative,
NIST_Full scan_1_POS,formal_manifest,matched,2,1,,ST003514,Agilent 6545 QTOF,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",positive,identical duplicate physical copy rows
NIST_Full scan_2_NEG,formal_manifest,matched,1,0,,ST003514,Agilent 6545 QTOF,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",negative,
Sphingolipid-BTSPT-Cell-pellet_1,formal_manifest,matched,1,0,,ST003941,Thermo Orbitrap ID-X Tribrid,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",positive,
Sphingolipid-BTSPT-OMV_1,formal_manifest,matched,1,0,,ST003941,Thermo Orbitrap ID-X Tribrid,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",positive,
Sphingolipid-BTWT-Cell-pellet_1,formal_manifest,matched,1,0,,ST003941,Thermo Orbitrap ID-X Tribrid,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",positive,
Urine-15V,formal_manifest,matched,1,0,,ST001873,SCIEX 5600+ TripleTOF,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",positive,
Urine-30V,formal_manifest,matched,1,0,,ST001873,SCIEX 5600+ TripleTOF,"Waters ACQUITY UPLC BEH C8 (100 × 2.1 mm, 1.7 µm)",positive,
WTHFD_mixpos,formal_manifest,matched,1,0,,ST003127,Thermo Q Exactive Orbitrap,"Imtakt Cadenza CD-C18 (150 × 2.1 mm, 3 µm)",positive,
frag1_pos20_1,formal_manifest,matched,1,0,,自采,Agilent 6546 QTOF,unknown,positive,
NIST_Full scan_2_POS,excel_only,not_in_formal_manifest,1,0,,ST003514,Agilent 6545 QTOF,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",positive,Excel-listed mzML has no EIC window in the formal v2 manifest
NIST_Full scan_3_POS,excel_only,not_in_formal_manifest,1,0,,ST003514,Agilent 6545 QTOF,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",positive,Excel-listed mzML has no EIC window in the formal v2 manifest
NIST_Full scan_4_POS,excel_only,not_in_formal_manifest,1,0,,ST003514,Agilent 6545 QTOF,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",positive,Excel-listed mzML has no EIC window in the formal v2 manifest
NIST_Full scan_5_POS,excel_only,not_in_formal_manifest,1,0,,ST003514,Agilent 6545 QTOF,"Agilent InfinityLab Poroshell 120 EC-C18 (100 × 3 mm, 2.7 µm)",positive,Excel-listed mzML has no EIC window in the formal v2 manifest
