source_file,source_mzml_name,domain_id,domain_name,definition_level,reference_workbook
D06P_POS,D06P_POS.mzML,ST003514,Highly reliable LC-MS lipidomics database for efficient human plasma profiling based on NIST SRM 1950,independent public study or self-collected acquisition project,mzML数据集公开来源核对表_简洁版.xlsx (verified 2026-08-04)
D07P_NEG,D07P_NEG.mzML,ST003514,Highly reliable LC-MS lipidomics database for efficient human plasma profiling based on NIST SRM 1950,independent public study or self-collected acquisition project,mzML数据集公开来源核对表_简洁版.xlsx (verified 2026-08-04)
HepG2-30V,HepG2-30V.mzML,ST001873,Metabolomics analysis of multiple samples on AB 5600-Part 1,independent public study or self-collected acquisition project,mzML数据集公开来源核对表_简洁版.xlsx (verified 2026-08-04)
HetCD_mixneg,HetCD_mixneg.mzML,ST003127,Effect of High Fat Diet on Heart Lipidome in CHCHD10 Mutant Mice,independent public study or self-collected acquisition project,mzML数据集公开来源核对表_简洁版.xlsx (verified 2026-08-04)
NIST_Full scan_1_POS,NIST_Full scan_1_POS.mzML,ST003514,Highly reliable LC-MS lipidomics database for efficient human plasma profiling based on NIST SRM 1950,independent public study or self-collected acquisition project,mzML数据集公开来源核对表_简洁版.xlsx (verified 2026-08-04)
NIST_Full scan_2_NEG,NIST_Full scan_2_NEG.mzML,ST003514,Highly reliable LC-MS lipidomics database for efficient human plasma profiling based on NIST SRM 1950,independent public study or self-collected acquisition project,mzML数据集公开来源核对表_简洁版.xlsx (verified 2026-08-04)
Sphingolipid-BTSPT-Cell-pellet_1,Sphingolipid-BTSPT-Cell-pellet_1.mzML,ST003941,Lipidomic analysis of Bacteroides thetaiotaomicron WT vs SPT KO,independent public study or self-collected acquisition project,mzML数据集公开来源核对表_简洁版.xlsx (verified 2026-08-04)
Sphingolipid-BTSPT-OMV_1,Sphingolipid-BTSPT-OMV_1.mzML,ST003941,Lipidomic analysis of Bacteroides thetaiotaomicron WT vs SPT KO,independent public study or self-collected acquisition project,mzML数据集公开来源核对表_简洁版.xlsx (verified 2026-08-04)
Sphingolipid-BTWT-Cell-pellet_1,Sphingolipid-BTWT-Cell-pellet_1.mzML,ST003941,Lipidomic analysis of Bacteroides thetaiotaomicron WT vs SPT KO,independent public study or self-collected acquisition project,mzML数据集公开来源核对表_简洁版.xlsx (verified 2026-08-04)
Urine-15V,Urine-15V.mzML,ST001873,Metabolomics analysis of multiple samples on AB 5600-Part 1,independent public study or self-collected acquisition project,mzML数据集公开来源核对表_简洁版.xlsx (verified 2026-08-04)
Urine-30V,Urine-30V.mzML,ST001873,Metabolomics analysis of multiple samples on AB 5600-Part 1,independent public study or self-collected acquisition project,mzML数据集公开来源核对表_简洁版.xlsx (verified 2026-08-04)
WTHFD_mixpos,WTHFD_mixpos.mzML,ST003127,Effect of High Fat Diet on Heart Lipidome in CHCHD10 Mutant Mice,independent public study or self-collected acquisition project,mzML数据集公开来源核对表_简洁版.xlsx (verified 2026-08-04)
frag1_pos20_1,frag1_pos20_1.mzML,SELF_FRAG1_20260527,frag1 self-collected dataset,independent public study or self-collected acquisition project,mzML数据集公开来源核对表_简洁版.xlsx (verified 2026-08-04)
