Feature_ID,mz,RTmin,RT,RTmax,npeaks,sn,NIST_Full scan_1_POS.mzML
F32,81.0702,11.4990,11.7570,11.6160,8.0000,15073.0000,135287.8573
F33,81.0702,13.3160,13.4990,13.4660,5.0000,12896.0000,62692.9443
F34,81.0701,18.7670,18.7760,18.8510,4.0000,7205.0000,32655.9312
F35,81.0703,12.6990,12.6910,12.8330,6.0000,13329.0000,112771.7213
F36,81.0702,13.8830,14.0660,14.0160,3.0000,13823.0000,105603.9127
F37,81.0701,14.9160,15.1500,15.0330,4.0000,14253.0000,84992.9967
F38,81.0701,6.9810,7.0310,7.0980,3.0000,12172.0000,77894.8741
F39,81.0702,14.5330,14.6160,14.7000,3.0000,20141.0000,167950.0911
F40,81.0701,5.6970,6.4140,6.3480,3.0000,12139.0000,67933.3560
F41,81.0702,7.3480,7.7480,7.6480,3.0000,10760.0000,118249.6346
F42,81.0702,8.4810,8.3900,8.9150,2.0000,11410.0000,254779.4646
F43,81.0702,3.7140,3.8800,3.8470,2.0000,10.0000,296983.3288
F44,81.0702,4.8300,5.0970,5.2810,1.0000,13516.0000,316304.4549
F45,81.0701,5.2970,5.4810,5.6810,1.0000,11973.0000,229663.7792
F46,81.0702,15.5000,15.8330,16.1330,1.0000,23380.0000,557094.9535
F47,81.0700,16.2170,16.2670,16.3000,1.0000,14968.0000,71949.0386
F48,81.0702,4.4140,4.6140,4.7800,1.0000,14724.0000,304758.9498
F49,81.0702,16.4670,17.6170,18.4510,1.0000,15724.0000,1243228.3983
F50,82.9453,0.6960,0.7630,0.8300,1.0000,650.0000,568975.4122
F51,82.9979,18.9010,18.9670,18.9840,1.0000,22.0000,524087.0933
F52,83.9992,9.0480,8.9820,9.2480,3.0000,6449.0000,42368.7803
F53,83.9993,18.1010,18.2510,18.4170,1.0000,20.0000,177866.3674
F54,83.9993,18.6010,18.8670,18.9840,1.0000,25.0000,302817.9417
F55,84.0445,0.7800,0.8300,0.8960,1.0000,41.0000,362712.0293
F56,84.0448,0.6800,0.7300,0.7800,1.0000,39.0000,123658.7486
F57,84.9634,0.7460,0.8300,0.8960,1.0000,7.0000,15887.5349
F58,84.9954,18.1340,18.2670,18.3170,1.0000,24.0000,103855.5648
F59,85.0287,0.6800,0.7880,0.7800,2.0000,199.0000,155582.1949
F60,85.9975,12.1160,12.1660,12.2490,1.0000,5.0000,8298.5590
F61,85.9973,15.6500,15.6830,15.7330,1.0000,1651.0000,6089.7835
F62,86.0598,17.6500,17.7340,17.7840,1.0000,3803.0000,22664.9795
F63,87.0943,17.1340,17.2340,17.2340,4.0000,37639.0000,234828.8079
F64,87.0945,16.4500,16.3000,16.8840,3.0000,36710.0000,262071.2076
F65,87.0945,17.6500,17.9840,18.2510,1.0000,43986.0000,1089173.1452
F66,88.0760,17.9340,18.0670,18.2170,1.0000,17.0000,553129.0581
F67,90.9351,17.9840,18.1010,18.1840,1.0000,14.0000,74569.5247
F68,92.9335,17.9670,18.0840,18.1500,1.0000,10.0000,30923.4557
F69,92.9710,14.6000,14.6500,14.6830,1.0000,3269.0000,8397.8721
F70,94.0653,0.7460,0.8130,0.8800,1.0000,23.0000,102789.2387
F71,95.0479,5.9970,6.0310,6.0810,1.0000,1393.0000,4985.7253
F72,95.0857,3.6970,3.8800,3.8470,2.0000,12.0000,409316.9892
F73,96.0807,17.5840,17.6090,17.8840,2.0000,10068.0000,144824.7760
F74,96.0869,3.7300,3.7640,3.8140,1.0000,9.0000,23669.7756
F75,96.9223,0.6960,0.7800,0.8630,1.0000,185.0000,160852.1180
F76,98.0778,10.4820,10.5150,10.5650,1.0000,3509.0000,12021.1769
F77,98.9193,0.7130,0.7630,0.8460,1.0000,13082.0000,56982.3396
F78,98.9755,18.9010,18.9670,18.9840,1.0000,17.0000,365602.4731
F79,100.0758,0.7630,0.8300,0.8960,1.0000,39.0000,231281.8523
F80,101.0084,18.0840,18.4090,18.4510,2.0000,24.0000,261493.0162
F81,101.0084,18.6510,18.9010,18.9840,1.0000,26.0000,361999.9588
F82,101.0598,4.3970,4.4970,4.5640,1.0000,13.0000,140100.2908
F83,102.0098,10.7490,10.7820,10.8320,1.0000,5.0000,7624.7048
F84,102.0546,0.7630,0.8300,0.9130,1.0000,10.0000,56116.4676
F85,102.0916,0.6800,0.7880,0.7960,2.0000,46.0000,99284.6648
F86,103.0061,18.4840,18.6510,18.6010,3.0000,3394.0000,18226.5254
F87,103.0393,0.6800,0.7880,0.7960,2.0000,89.0000,171105.7515
F88,103.0541,4.1640,4.2140,4.2470,1.0000,1515.0000,5049.9540
F89,103.0532,0.7630,0.8300,0.9130,1.0000,31.0000,127899.7830
F90,103.9555,17.9840,18.0670,18.1670,1.0000,34.0000,243846.8660
F91,104.0706,1.0130,1.0630,1.1300,1.0000,11.0000,10601.9105
F92,104.1071,2.5300,2.6300,2.7470,1.0000,68.0000,689025.2836
F93,104.1070,2.1470,2.2470,2.3300,1.0000,25.0000,337330.8531
F94,104.1071,3.4300,3.4970,3.5640,1.0000,31.0000,267569.7790
F95,104.1075,0.6960,0.7630,0.8300,1.0000,1195.0000,5766213.9471
F96,104.1072,12.1990,12.2660,12.3320,1.0000,10.0000,88131.1530
F97,104.9923,13.8160,13.9000,13.9500,1.0000,24.0000,145516.1541
F98,104.9924,14.2500,14.4000,14.5160,1.0000,24.0000,272417.7842
F99,104.9924,11.5820,12.5490,12.5660,1.0000,24.0000,705950.7884
F100,104.9927,0.7130,0.7800,0.8460,1.0000,746.0000,2123795.5927
F101,104.9925,17.5840,17.8840,18.1500,1.0000,24.0000,462335.2759
F102,105.0293,17.3670,17.8170,18.0500,1.0000,13.0000,332183.8821
F103,105.0317,4.8970,4.9470,4.9970,1.0000,2234.0000,8949.9101
F104,105.1107,0.6960,0.7630,0.8460,1.0000,289.0000,328678.7365
F105,105.9537,0.0630,0.5460,0.7300,1.0000,5712.0000,165608.6684
F106,105.9958,0.7130,0.7800,0.8630,1.0000,159.0000,49443.1221
F107,106.0863,17.9670,18.0500,18.1170,1.0000,29.0000,369604.5189
F108,106.9044,18.0000,18.0840,18.2010,1.0000,65.0000,76407.1108
F109,106.9655,0.7460,0.7960,0.8800,1.0000,6.0000,17760.0450
F110,107.0495,11.8490,11.8990,11.9660,1.0000,30.0000,53504.9171
F111,107.0494,0.7800,0.8300,0.9300,1.0000,9.0000,32367.1105
F112,108.9040,18.0000,18.0670,18.1840,1.0000,87.0000,78538.4934
F113,109.1012,3.7140,3.8800,3.8640,2.0000,24.0000,304924.6202
F114,110.0713,0.7960,0.9460,1.1630,1.0000,23.0000,1120807.1056
F115,110.0969,12.0990,12.6660,13.4660,1.0000,7827.0000,456753.7380
F116,110.1034,3.7300,3.7800,3.8470,1.0000,9.0000,23598.5248
F117,111.0441,4.4140,4.4970,4.5640,1.0000,16.0000,115403.7861
F118,112.0773,7.3810,7.4310,7.4650,1.0000,2342.0000,8392.6243
F119,114.0663,0.7460,0.8130,0.8800,1.0000,159.0000,500368.8181
F120,114.0901,0.8130,0.8460,0.8960,1.0000,11.0000,36384.7305
F121,114.0908,10.0990,10.1320,10.1820,1.0000,6.0000,15227.0397
F122,114.0932,9.0980,9.1480,9.1980,1.0000,5290.0000,21556.5349
F123,114.9484,17.5840,17.6170,17.7000,1.0000,10.0000,5542.9858
F124,115.0754,14.0160,14.0500,14.1000,1.0000,6.0000,8458.7548
F125,116.0705,0.8630,0.8710,1.0460,2.0000,27.0000,215265.2668
F126,116.0697,9.7150,9.7480,9.7980,1.0000,1754.0000,6551.4435
F127,116.1070,0.7130,0.7960,0.8460,1.0000,12.0000,17772.2951
F128,116.1080,17.9670,18.0170,18.0500,1.0000,10.0000,5348.8892
F129,116.9682,12.9660,13.0080,13.2160,2.0000,4151.0000,44060.7903
F130,116.9925,0.7460,0.7800,0.8300,1.0000,7617.0000,20035.0587
F131,117.0545,10.9650,11.0150,11.0490,1.0000,11.0000,7065.9895
F132,117.1467,0.0630,0.1130,0.1460,1.0000,5.0000,5031.0627
F133,117.1464,9.7820,9.8320,9.8820,1.0000,6.0000,8469.6863
F134,118.0863,10.8990,10.9650,11.0150,5.0000,206218.0000,1569015.7872
F135,118.0864,6.0140,5.8890,6.1470,8.0000,190127.0000,1798673.4445
F136,118.0861,14.3160,14.5830,14.4500,4.0000,7687.0000,57788.4536
F137,118.0863,9.7820,9.8650,9.8650,4.0000,195912.0000,1136191.1615
F138,118.0863,8.9480,9.0230,9.0150,6.0000,207762.0000,976726.5268
F139,118.0862,16.1000,16.1330,16.1830,3.0000,9247.0000,44898.4625
F140,118.0862,12.4160,12.8160,12.6660,4.0000,11102.0000,71327.3273
F141,118.0862,12.0660,12.1660,12.1660,2.0000,11408.0000,61854.8729
F142,118.0862,11.5990,11.7490,11.7490,2.0000,45992.0000,402252.5063
F143,118.0863,4.3970,4.8140,4.5970,3.0000,133916.0000,2051498.4276
F144,118.0861,17.1000,17.4090,17.5000,2.0000,9892.0000,205064.1548
F145,118.0859,13.4990,13.5660,13.6490,1.0000,9632.0000,82708.6581
F146,118.0861,13.7830,13.9830,14.2330,1.0000,10089.0000,212170.2493
F147,118.0863,16.3670,16.6670,16.9340,1.0000,10606.0000,282364.1888
F148,118.0864,6.4810,6.9810,8.0150,1.0000,203390.0000,15815778.9631
F149,118.0863,0.7630,0.8300,0.8960,1.0000,54.0000,6076471.1640
F150,118.0862,14.8660,15.3830,15.9170,1.0000,9955.0000,378396.9265
F151,118.0863,17.6500,18.5010,18.9840,1.0000,302989.0000,15958422.5520
F152,119.0494,0.7800,0.8300,0.8800,1.0000,6.0000,11972.6290
F153,119.0895,0.7630,0.8300,0.9130,1.0000,21.0000,369631.8617
F154,119.0894,17.9840,18.4010,18.9840,1.0000,20622.0000,961391.1918
F155,120.0032,0.7460,0.7960,0.8800,1.0000,18079.0000,67473.1235
F156,120.0811,0.7630,0.8300,0.8960,1.0000,116452.0000,495400.9438
F157,120.9664,0.7460,0.7800,0.8460,1.0000,9905.0000,25954.2270
F158,120.9819,18.2340,18.6590,18.6340,2.0000,7617.0000,96933.8805
F159,120.9819,18.0170,18.1170,18.2010,1.0000,7284.0000,65136.3653
F160,120.9823,17.2670,17.2920,17.5170,2.0000,6148.0000,71404.3681
F161,120.9825,17.5170,17.8340,17.7670,3.0000,5849.0000,32399.0782
F162,122.0546,6.6480,6.7140,6.7980,1.0000,5744.0000,33869.4751
F163,122.0969,12.4160,13.0660,12.8830,5.0000,5045.0000,23894.2601
F164,122.0970,14.0000,14.0080,14.1000,4.0000,5749.0000,26998.9715
F165,122.0969,15.8330,16.0420,16.0500,2.0000,4811.0000,52361.4523
F166,122.0972,14.2330,14.2830,14.3330,1.0000,3469.0000,17408.2032
F167,123.0802,7.3810,7.4310,7.5150,1.0000,5.0000,17581.7665
F168,123.1167,3.7140,3.7800,3.8470,1.0000,8.0000,73839.2907
F169,124.0243,18.0670,18.2840,18.6510,1.0000,25.0000,1227596.5411
F170,124.1118,15.4670,15.5330,15.6000,1.0000,6275.0000,45541.8494
F171,124.1121,12.1490,12.2160,12.2820,1.0000,7776.0000,44016.4989
F172,124.1123,12.5660,12.4490,12.6660,3.0000,7109.0000,30069.4133
F173,124.1123,15.6000,15.6670,15.7830,1.0000,7613.0000,64569.7506
F174,124.1123,14.8330,15.1830,15.4330,1.0000,6836.0000,195105.0423
F175,125.0213,0.7300,0.7800,0.8300,1.0000,71303.0000,158615.8597
F176,125.0258,2.3800,1.8800,2.9130,9.0000,5958.0000,35372.3979
F177,125.0258,1.0300,1.0300,1.1630,2.0000,4082.0000,27690.7200
F178,125.0257,18.6170,18.8840,18.9840,1.0000,24.0000,181994.8960
F179,125.0692,7.1140,7.1640,7.1980,1.0000,1930.0000,6617.9275
F180,125.0700,4.1140,4.1640,4.1970,1.0000,2034.0000,6400.8960
F181,126.0224,18.0670,18.3340,18.6010,1.0000,25.0000,166144.0157
F182,126.0920,0.7800,0.8130,0.8800,1.0000,30.0000,30785.2501
F183,126.1104,12.0660,12.5160,12.8830,1.0000,7619.0000,233769.9269
F184,126.9382,12.6490,13.0490,13.2990,1.0000,5.0000,12771.1737
F185,126.9732,14.1000,14.1500,14.2000,1.0000,6.0000,7007.5060
F186,127.9564,14.0500,14.1160,14.1830,3.0000,4907.0000,33689.8417
F187,127.9562,15.1330,15.1830,15.2500,3.0000,4901.0000,29985.9689
F188,127.9552,8.7980,8.8480,8.8820,1.0000,10.0000,5035.0980
F189,128.1433,17.7840,17.9840,18.1170,1.0000,25.0000,1098059.3299
F190,128.9536,0.8800,0.8710,0.9960,2.0000,11.0000,76772.8920
F191,129.0545,4.3970,4.4970,4.5640,1.0000,16.0000,90214.8555
F192,130.0501,0.7800,0.7800,0.8960,2.0000,33.0000,215547.6855
F193,131.0513,0.7630,0.8300,0.8960,1.0000,17.0000,29349.4711
F194,131.0700,13.8500,13.8830,13.9330,1.0000,6.0000,5963.1171
F195,131.1622,15.6170,15.6830,15.7500,1.0000,3059.0000,17548.3520
F196,131.1624,15.7500,16.1500,16.4000,1.0000,4014.0000,109671.0982
F197,132.0772,0.6460,0.8130,1.0300,1.0000,161.0000,191391.2616
F198,132.1015,0.7460,0.8130,0.8960,1.0000,19.0000,62113.3885
F199,132.1011,7.8650,7.9480,7.9810,1.0000,5.0000,8299.8515
F200,133.0134,2.2800,2.2880,2.4130,2.0000,24.0000,28267.0613
F201,133.0321,0.7800,0.8130,0.8630,1.0000,49.0000,8153.1285
F202,133.0649,7.1640,7.2140,7.2480,1.0000,6.0000,5756.5924
F203,133.0997,3.7300,3.7800,3.8300,1.0000,6.0000,35744.7277
F204,134.0190,0.7300,0.7800,0.8630,1.0000,931.0000,176699.6346
F205,134.1174,3.5970,3.6470,3.6970,1.0000,12.0000,5591.0018
F206,135.0031,0.7130,0.7800,0.8460,1.0000,854.0000,652984.3987
F207,135.1160,15.4500,15.8670,16.3170,1.0000,13551.0000,154627.6451
F208,136.0066,0.7130,0.7800,0.8460,1.0000,101.0000,26775.0196
F209,136.0483,0.7130,0.7800,0.8460,1.0000,1149.0000,576275.7101
F210,137.0713,13.5660,13.6160,13.6660,1.0000,5.0000,7461.1248
F211,137.0706,0.7300,0.7960,0.8960,1.0000,11.0000,53838.1211
F212,138.0550,18.0840,18.1170,18.1670,1.0000,10.0000,11053.6710
F213,138.0557,0.7800,0.8300,0.9460,1.0000,26.0000,107298.0613
F214,138.0934,11.5490,11.5990,11.6820,1.0000,9.0000,24988.7904
F215,139.0869,9.1150,9.1480,9.1980,1.0000,6.0000,8032.1814
F216,140.1434,18.1010,18.1840,18.2510,1.0000,9.0000,87761.3173
F217,141.0660,17.8000,18.0340,18.2840,1.0000,5.0000,8315.7934
F218,141.0716,0.7460,0.7800,0.8460,1.0000,69206.0000,163652.0022
F219,142.1592,17.0000,17.7840,18.3170,1.0000,41.0000,11830178.8620
F220,142.9387,16.7500,17.3000,16.8340,13.0000,3931.0000,16451.4327
F221,142.9385,0.7960,0.8460,0.9130,1.0000,8.0000,5917.8707
F222,143.0188,18.5340,18.6010,18.6510,1.0000,24.0000,48946.7829
F223,143.0190,18.9010,18.9510,18.9840,1.0000,25.0000,32384.3071
F224,143.1623,17.1170,17.7670,18.3010,1.0000,13.0000,1040886.6840
F225,144.1021,0.7460,0.8130,0.8960,1.0000,269.0000,1086546.7295
F226,144.9802,18.2170,18.3170,18.4010,1.0000,18.0000,25210.8575
F227,145.1053,0.7460,0.8130,0.8960,1.0000,54.0000,93583.2578
F228,146.0605,0.7630,0.8130,0.8960,1.0000,57.0000,55928.0110
F229,146.9588,17.9000,18.0000,18.1340,1.0000,7.0000,10325.6857
F230,146.9789,12.0660,12.1660,12.2160,1.0000,5.0000,5424.4641
F231,147.0653,4.4300,4.4970,4.5470,1.0000,8.0000,23198.5617
F232,148.0970,17.9670,18.3170,18.9840,1.0000,36.0000,331591.2866
F233,148.9541,17.9340,18.0000,18.0670,1.0000,36.0000,76753.7798
F234,149.0188,0.7300,0.7630,0.8130,1.0000,19493.0000,59941.8307
F235,149.0235,14.5330,14.9500,14.7000,3.0000,31.0000,178718.5542
F236,149.0233,15.8500,15.8420,16.0000,2.0000,29.0000,241555.6245
F237,149.0231,0.9130,0.9800,1.0460,1.0000,9.0000,84247.3343
F238,149.0236,4.1300,4.4300,4.7300,1.0000,548.0000,2253090.6283
F239,149.0234,11.8160,11.8990,12.0160,1.0000,29.0000,300883.7592
F240,149.0234,1.5300,1.6130,1.6960,1.0000,17.0000,203644.7250
F241,149.0232,2.9630,3.0300,3.1130,1.0000,9.0000,94615.9689
F242,149.0430,3.7640,3.8140,3.8470,1.0000,9203.0000,29224.4101
F243,149.0447,2.2800,2.2880,2.4130,2.0000,33368.0000,186108.5956
F244,149.0599,0.8130,0.8800,0.9460,1.0000,6.0000,24029.4089
F245,149.0601,11.8320,11.8990,11.9820,1.0000,6.0000,24949.4637
F246,149.1324,14.9160,15.0160,15.1330,1.0000,13.0000,94939.7034
F247,150.0138,0.7460,0.8130,0.8960,1.0000,53.0000,67113.4678
F248,150.0269,3.5970,4.4300,4.8970,1.0000,24.0000,255176.7327
F249,150.0265,1.4630,1.6130,1.6800,1.0000,8.0000,17225.5498
F250,150.0456,2.2800,2.3470,2.3970,1.0000,8.0000,25596.6216
F251,150.0887,3.7300,3.7800,3.8140,1.0000,9.0000,5251.3626
F252,151.0419,2.1970,2.2800,2.3470,1.0000,17.0000,13638.6136
F253,151.1220,15.7000,16.1420,15.8500,6.0000,7419.0000,72052.4661
F254,151.1221,15.2160,15.2660,15.3330,1.0000,7786.0000,51246.0827
F255,151.1225,15.4330,15.4670,15.6000,2.0000,7565.0000,74260.5117
F256,151.1470,0.8800,0.9300,0.9630,1.0000,2009.0000,6451.4801
F257,151.1473,11.5820,11.4820,11.6990,3.0000,2742.0000,24837.1926
F258,151.8613,17.9840,18.0840,18.1840,1.0000,23.0000,49928.2692
F259,152.0227,0.7460,0.7960,0.8300,1.0000,96.0000,30170.7580
F260,152.1437,17.2170,17.2840,17.3340,1.0000,22.0000,28388.3175
F261,152.1435,16.7500,16.8000,16.8500,1.0000,26.0000,26324.3320
F262,152.1433,17.3670,17.8000,18.2170,1.0000,26.0000,137275.0809
F263,153.0668,0.7630,0.8130,0.8960,1.0000,13.0000,12392.0463
F264,153.1009,0.8800,0.9460,0.9960,1.0000,12.0000,12573.9621
F265,153.8597,18.0000,18.0840,18.1670,1.0000,38.0000,47880.2688
F266,154.1362,17.0170,17.0670,17.1000,1.0000,6.0000,14466.1064
F267,155.0817,17.9840,18.0500,18.2170,1.0000,5.0000,10952.9623
F268,155.1109,3.7140,3.7640,3.8300,1.0000,17.0000,17364.7360
F269,155.1160,12.4160,12.6330,12.9160,1.0000,4196.0000,29867.3773
F270,155.8579,18.0170,18.0840,18.1500,1.0000,16.0000,9379.1369
F271,155.9733,16.2000,16.3330,16.3830,1.0000,5.0000,7782.0662
F272,156.0766,1.2800,1.5130,1.4130,2.0000,36.0000,135381.5830
F273,156.0765,0.7960,0.9460,1.0800,1.0000,43.0000,258945.4071
F274,156.1750,0.6630,0.6960,0.7460,1.0000,7.0000,5178.3309
F275,158.1187,0.7630,0.8130,0.8630,1.0000,22.0000,30890.7851
F276,158.9997,17.7840,17.7840,18.0170,2.0000,2960.0000,14738.1042
F277,159.1131,17.9840,18.0500,18.1010,1.0000,11.0000,47509.1846
F278,159.1587,14.0000,14.0500,14.0830,1.0000,1618.0000,5095.9168
F279,160.0348,0.7300,0.7800,0.8460,1.0000,106435.0000,273207.5819
F280,160.0959,0.7800,0.8300,0.8800,1.0000,16.0000,28426.4596
F281,160.1333,0.5630,0.8130,1.0630,1.0000,50.0000,244630.7804
F282,161.1325,14.5330,14.6160,14.6830,1.0000,11.0000,61986.5039
F283,161.1324,14.9330,15.0160,15.1330,1.0000,26.0000,165298.7664
F284,161.1324,15.6830,15.8500,15.9830,1.0000,18.0000,177062.1055
F285,162.1128,0.6800,0.7880,0.7960,2.0000,1876.0000,3386919.1247
F286,162.1345,15.7670,15.8330,15.8830,1.0000,7.0000,16540.0839
F287,162.9514,0.7130,0.7630,0.8630,1.0000,300.0000,50835.2169
F288,163.0340,0.7300,0.7800,0.8460,1.0000,18.0000,14286.0273
F289,163.0765,1.3460,1.3960,1.4300,1.0000,3126.0000,9430.7486
F290,163.0754,0.9130,0.9630,1.0300,1.0000,11.0000,23091.2969
F291,163.1160,0.7960,0.7880,0.8960,2.0000,72.0000,273658.0527
F292,163.1208,15.6330,15.6830,15.7330,1.0000,10.0000,8071.1683
F293,163.1482,3.8970,3.9800,4.0470,1.0000,19.0000,113025.1713
F294,164.0295,0.7460,0.8130,0.8960,1.0000,197.0000,149320.6401
F295,164.1055,3.8970,3.9800,4.0470,1.0000,2455.0000,14288.8715
F296,164.9206,0.7460,0.8300,0.8960,1.0000,15.0000,92169.3135
F297,164.9206,17.9840,18.0500,18.1010,1.0000,65.0000,286011.2831
F298,164.9477,0.7300,0.7630,0.8130,1.0000,6988.0000,16993.1504
F299,165.0543,0.9130,0.9800,1.0300,1.0000,4913.0000,24953.5997
F300,165.0552,17.9670,18.3260,18.3670,2.0000,31.0000,68969.2327
F301,165.0547,18.6010,18.8510,18.9840,1.0000,47.0000,97735.1384
F302,165.0547,1.3300,1.2300,1.6630,3.0000,4852.0000,29222.4082
F303,165.1636,3.7140,3.8800,3.8640,2.0000,14.0000,83729.7606
F304,166.0859,0.8130,0.8460,0.9130,1.0000,41.0000,36717.1087
F305,166.1608,11.1320,11.1820,11.2150,1.0000,1844.0000,6047.2608
F306,166.9719,0.1130,0.3460,0.3960,1.0000,1227.0000,5774.8401
F307,166.9743,0.6460,0.8800,1.0800,1.0000,10.0000,20755.9592
F308,167.0341,4.1970,4.4300,4.6800,1.0000,57.0000,190269.1271
F309,167.0556,2.2800,2.2880,2.4130,2.0000,116.0000,83690.6981
F310,168.0386,4.1140,4.4140,4.6970,1.0000,52.0000,15650.1325
F311,168.0573,0.8130,0.8460,0.8960,1.0000,5771.0000,14445.9106
F312,168.1020,0.7460,0.8130,0.8960,1.0000,48.0000,69369.3342
F313,168.1450,8.2310,8.2810,8.3150,1.0000,5.0000,7037.7379
F314,169.0588,0.7460,0.7960,0.8960,1.0000,30.0000,25435.5242
F315,169.9666,17.9840,18.0500,18.1340,1.0000,12.0000,66736.3486
F316,170.0924,0.7800,0.9300,0.9960,1.0000,30.0000,161661.9839
F317,170.9688,16.0000,16.0330,16.0830,1.0000,7.0000,7790.2791
F318,172.1119,0.8630,0.8960,0.9460,1.0000,9.0000,7418.9149
F319,172.9949,0.7300,0.7800,0.8300,1.0000,62.0000,13702.3786
F320,173.0807,0.8130,0.8630,0.9130,1.0000,9.0000,20182.8150
F321,173.1323,3.7140,3.7800,3.8470,1.0000,11.0000,56857.7067
F322,175.0967,0.4960,0.5800,0.6300,1.0000,5.0000,8118.9701
F323,175.1189,0.8460,1.0710,1.0300,2.0000,128.0000,884714.3904
F324,175.1481,3.7140,3.8800,3.8470,2.0000,14.0000,303989.1388
F325,176.0084,0.7630,0.7960,0.8460,1.0000,5420.0000,12074.7865
F326,176.0660,0.7460,0.8130,0.8800,1.0000,161955.0000,582948.4327
F327,176.1222,0.8460,0.9460,1.1300,1.0000,16.0000,100059.7814
F328,176.1513,3.7140,3.7800,3.8640,1.0000,10.0000,47031.6555
F329,177.0134,17.2000,17.1090,17.3840,4.0000,3446.0000,17417.2139
F330,177.0136,16.4000,16.5340,16.5000,2.0000,4252.0000,21809.1543
F331,177.0140,17.4840,17.8340,18.2010,1.0000,3066.0000,80819.7099
F332,177.0246,0.7460,0.8300,0.9800,1.0000,43.0000,47459.3163
F333,177.0687,0.7800,0.8130,0.8630,1.0000,75.0000,35319.3002
F334,177.1134,0.8460,0.9300,1.0630,1.0000,28.0000,289165.9568
F335,177.1134,4.1800,4.2800,4.3800,1.0000,35.0000,325955.9947
F336,178.0584,0.8460,0.9130,1.0460,1.0000,6.0000,12068.1524
F337,179.0354,17.8500,17.9500,18.0340,1.0000,9.0000,19522.6758
F338,179.0892,0.7800,0.8800,1.0630,1.0000,8.0000,9520.7226
F339,179.1792,14.9830,15.0330,15.0660,1.0000,8.0000,9832.9126
F340,179.8680,18.0000,18.0840,18.1840,1.0000,36.0000,52680.7650
F341,180.0051,0.7630,0.8130,0.8460,1.0000,4089.0000,12180.0444
F342,180.1737,3.7140,3.7970,3.8470,1.0000,6.0000,11252.8133
F343,180.8944,16.4840,16.5340,16.6340,3.0000,3162.0000,19814.0484
F344,180.8944,17.9840,18.0500,18.1340,1.0000,9.0000,20599.2769
F345,180.8951,0.6300,0.8300,1.0630,1.0000,8.0000,19951.9484
F346,180.8949,16.3830,16.4340,16.4840,1.0000,2317.0000,14458.1216
F347,181.1594,3.9140,3.9800,4.0800,1.0000,11.0000,143746.2977
F348,181.1678,6.1310,6.2140,6.2640,1.0000,6.0000,30383.1664
F349,181.8660,17.9670,18.1010,18.4170,1.0000,25.0000,61455.4989
F350,182.1620,7.6150,7.6480,7.6980,1.0000,5.0000,7276.0993
F351,183.1748,3.7140,3.8800,3.8470,2.0000,8.0000,66959.6352
F352,183.8642,18.0000,18.0840,18.1670,1.0000,16.0000,10546.4520
