sample_id,split,change_type,old_peak_count,new_peak_count,peak_count_delta,old_seed_label,new_seed_label,seed_label_changed,old_max_seed_true_peak_iou,new_max_seed_true_peak_iou,old_boxes_json,new_boxes_json,review_json
060-0145-005_017__F8886,val,新增真峰,0,1,1,0,0,False,0.0,0.0,[],"[[401.4661654135338, 62.18045112781958, 443.19548872180457, 402.406015037594]]",043__060-0145-005_017__F8886.json
060-0145-005_017__F8963,val,增加峰数量并/或调整边界,3,5,2,1,1,False,0.943799965526637,0.943799804284294,"[[234.696791139647, 161.9451185765035, 293.0690190972908, 403.75925925925924], [178.70967741935485, 84.35990338164251, 234.696791139647, 403.75925925925924], [302.3655913978494, 297.3423175551195, 344.3010752688172, 403.75925925925924]]","[[151.09022556390977, 284.36090225563913, 179.28571428571428, 406.1654135338346], [178.7097, 84.3599, 234.6968, 403.7592], [234.6968, 161.9451, 293.069, 403.7592], [302.3656, 297.3423, 344.3011, 403.7592], [373.64661654135335, 328.34586466165416, 407.4812030075188, 404.6616541353384]]",122__060-0145-005_017__F8963.json
20180323_S00033882_N__F103,val,新增真峰,0,2,2,0,1,True,0.0,0.4114293582699599,[],"[[222.89473684210526, 85.4887218045113, 283.796992481203, 403.15789473684214], [299.5864661654135, 44.135338345864696, 343.5714285714286, 402.406015037594]]",041__20180323_S00033882_N__F103.json
20180323_S00033882_N__F104,val,新增真峰,0,2,2,0,1,True,0.0,0.5291614081734085,[],"[[163.87218045112786, 195.26315789473688, 199.58646616541353, 407.29323308270676], [214.2481203007519, 58.42105263157898, 318.0075187969925, 407.66917293233087]]",118__20180323_S00033882_N__F104.json
20180323_S00033882_N__F122,val,减少峰数量并/或调整边界,2,1,-1,1,1,False,0.6136914103423406,0.6136913151365647,"[[181.93548387096777, 84.3599033816425, 385.3031372548353, 403.75925925925924], [385.3031372548353, 341.9184455782189, 444.30107526881727, 403.75925925925924]]","[[181.9355, 84.3599, 385.3031, 403.7592]]",087__20180323_S00033882_N__F122.json
20180323_S00033882_N__F131,val,调整边界,2,2,0,1,1,False,0.2646376108426776,0.6035005791814974,"[[221.46464615281627, 84.35990338164245, 267.9569892473119, 403.75925925925924], [380.0667966904507, 318.6660401092985, 415.268817204301, 403.75925925925924]]","[[204.8496240601504, 81.35338345864665, 312.74436090225566, 409.9248120300752], [380.0668, 318.666, 415.2688, 403.7592]]",070__20180323_S00033882_N__F131.json
20180323_S00033882_N__F135,val,删除全部真峰,1,0,-1,1,0,True,0.8618487858512542,0.0,"[[205.43036288940175, 84.3599033816425, 445.91397849462373, 403.75925925925924]]",[],101__20180323_S00033882_N__F135.json
20180323_S00033882_N__F144,val,新增真峰,0,1,1,0,1,True,0.0,0.41882666414033687,[],"[[224.77443609022555, 68.19548872180454, 278.5338345864662, 404.6616541353384]]",036__20180323_S00033882_N__F144.json
20180323_S00033882_N__F152,val,调整边界,2,2,0,1,1,False,0.5175634013542917,0.4967674572657308,"[[163.6916101827834, 361.04145515819016, 208.3336278244928, 403.75925925925924], [208.3336278244928, 84.35990338164251, 358.93904421889295, 403.75925925925924]]","[[163.6916, 361.0414, 207.4812030075188, 403.90977443609023], [208.3336, 84.3599, 286.8045112781955, 403.90977443609023]]",094__20180323_S00033882_N__F152.json
20180323_S00033882_N__F160,val,增加峰数量并/或调整边界,1,2,1,1,1,False,0.35161401702799966,0.20320343244618772,"[[231.11088422868852, 84.3599033816425, 276.02150537634395, 403.75925925925924]]","[[231.1109, 84.3599, 257.10526315789474, 406.1654135338346], [256.6748097744361, 83.98396015037589, 275.15037593984965, 407.66917293233087]]",124__20180323_S00033882_N__F160.json
20180323_S00033882_N__F166,val,调整边界,2,2,0,1,1,False,0.7787242469500381,0.7370154312744286,"[[147.13360671834624, 84.35990338164248, 420.6451612903225, 403.75925925925924], [99.67741935483868, 345.9038747049475, 147.13360671834624, 403.75925925925924]]","[[99.6774, 345.9039, 147.3308270676692, 411.0526315789474], [147.1336, 84.3599, 456.7293233082707, 410.67669172932335]]",106__20180323_S00033882_N__F166.json
20180323_S00033882_N__F197,val,调整边界,2,2,0,1,1,False,0.6691163746663719,0.6246455234970608,"[[285.391549666733, 84.35990338164248, 376.021505376344, 403.75925925925924], [222.6339022963653, 383.7730376080652, 285.391549666733, 403.75925925925924]]","[[222.6339, 383.773, 290.5639097744361, 405.0375939849624], [291.3157894736842, 84.73684210526318, 376.0215, 403.7592]]",071__20180323_S00033882_N__F197.json
20180323_S00033882_N__F264,val,调整边界,1,1,0,1,1,False,0.7712627382026033,0.6495415525040371,"[[207.20682796805272, 84.3599033816425, 412.0430107526882, 403.75925925925924]]","[[207.2068, 84.3599, 339.812030075188, 405.7894736842105]]",089__20180323_S00033882_N__F264.json
20180323_S00033882_N__F279,val,调整边界,1,1,0,1,1,False,0.5327607652640143,0.49592410173727713,"[[188.5519940839004, 84.35990338164248, 285.1612903225806, 403.75925925925924]]","[[194.69924812030075, 86.24060150375942, 285.1613, 403.7592]]",128__20180323_S00033882_N__F279.json
20180323_S00033882_N__F28,val,调整边界,2,2,0,1,1,False,0.3367668266941602,0.33676682548721204,"[[239.99999999999994, 84.35990338164248, 291.61290322580635, 403.75925925925924], [138.38709677419354, 281.95949314762015, 199.67741935483872, 403.75925925925924]]","[[138.3871, 281.9595, 197.70676691729324, 405.4135338345865], [240.0, 84.3599, 291.6129, 403.7592]]",110__20180323_S00033882_N__F28.json
20180323_S00033882_N__F311,val,新增真峰,0,1,1,0,1,True,0.0,0.6435127905536449,[],"[[216.50375939849624, 76.46616541353386, 295.4511278195489, 406.1654135338346]]",027__20180323_S00033882_N__F311.json
20180323_S00033882_N__F322,val,减少峰数量并/或调整边界,3,2,-1,1,1,False,0.5976738445531005,0.5976740830859016,"[[208.03121784770025, 84.35990338164247, 359.8924731182797, 403.75925925925924], [164.1223178477003, 321.6030641299436, 208.03121784770025, 403.75925925925924], [128.1720430107527, 388.6543259458349, 164.1223178477003, 403.75925925925924]]","[[164.1223, 321.6031, 208.0312, 403.7592], [208.0312, 84.3599, 359.8925, 403.7592]]",073__20180323_S00033882_N__F322.json
20180323_S00033882_N__F334,val,新增真峰,0,1,1,0,1,True,0.0,0.16811806294596948,[],"[[233.0451127819549, 64.06015037593987, 297.3308270676692, 358.42105263157896]]",047__20180323_S00033882_N__F334.json
20180323_S00033882_N__F351,val,调整边界,2,2,0,1,1,False,0.4366538573631615,0.4366537061217481,"[[214.6409644875436, 84.35990338164248, 308.8172043010753, 403.75925925925924], [179.6135829869279, 368.5345387070881, 214.6409644875436, 403.75925925925924]]","[[178.8617203007519, 368.5345, 213.8891203007519, 403.7592], [214.641, 84.3599, 308.8172, 403.7592]]",131__20180323_S00033882_N__F351.json
20180323_S00033882_N__F355,val,减少峰数量并/或调整边界,2,1,-1,1,1,False,0.6858535505054837,0.6858539513219094,"[[162.00480316682925, 293.8505410962396, 183.31210191082803, 403.75925925925924], [223.29512574747443, 84.35990338164251, 369.0322580645161, 403.75925925925924]]","[[223.2951, 84.3599, 369.0323, 403.7592]]",095__20180323_S00033882_N__F355.json
20180323_S00033882_N__F430,val,减少峰数量并/或调整边界,2,1,-1,1,1,False,0.5819131418230129,0.5819133816336441,"[[231.46632188952765, 84.35990338164251, 291.61290322580646, 403.75925925925924], [371.788902534689, 342.9010130580654, 414.73118279569894, 403.75925925925924]]","[[231.4663, 84.3599, 291.6129, 403.7592]]",074__20180323_S00033882_N__F430.json
20180323_S00033882_N__F481,val,新增真峰,0,3,3,0,1,True,0.0,0.32807216371990033,[],"[[190.56390977443613, 150.52631578947373, 236.0526315789474, 414.43609022556393], [237.18045112781954, 57.2932330827068, 270.2631578947369, 412.9323308270677], [270.6390977443609, 122.33082706766919, 355.9774436090226, 409.54887218045116]]",112__20180323_S00033882_N__F481.json
20180323_S00033882_N__F536,val,减少峰数量并/或调整边界,2,1,-1,1,1,False,0.600736349082467,0.600736048454401,"[[180.07095817533994, 84.35990338164248, 307.7419354838709, 403.75925925925924], [367.9204205409314, 341.73193761279384, 411.5053763440859, 403.75925925925924]]","[[180.071, 84.3599, 307.7419, 403.7592]]",076__20180323_S00033882_N__F536.json
20180323_S00033882_N__F551,val,调整边界,3,3,0,1,1,False,0.486280845315439,0.4862806043762338,"[[271.59803182601286, 158.80251065300487, 306.4875651592088, 403.75925925925924], [188.42548354047824, 84.35990338164247, 271.59803182601286, 403.75925925925924], [306.4875651592088, 254.02219158300488, 361.505376344086, 403.75925925925924]]","[[188.4255, 84.3599, 271.598, 403.7592], [271.22206015037597, 158.8025, 306.11166015037594, 403.7592], [306.4876, 254.0222, 361.5054, 403.7592]]",050__20180323_S00033882_N__F551.json
20180323_S00033882_N__F609,val,减少峰数量并/或调整边界,2,1,-1,1,1,False,0.8083307574474535,0.8083309132082097,"[[198.58386862686066, 84.35990338164248, 347.7436609779446, 403.75925925925924], [347.7436609779446, 359.64869797268136, 392.1505376344086, 403.75925925925924]]","[[198.5839, 84.3599, 347.7437, 403.7592]]",078__20180323_S00033882_N__F609.json
20180323_S00033882_N__F613,val,减少峰数量并/或调整边界,3,2,-1,1,1,False,0.9240759296246608,0.9240766111939077,"[[137.98978663761358, 364.1635518662825, 199.32301038696534, 403.75925925925924], [199.32301038696534, 84.35990338164248, 312.58064516129036, 403.75925925925924], [331.0005393257856, 370.034604140286, 376.02150537634407, 403.75925925925924]]","[[137.9898, 364.1635, 199.323, 403.7592], [199.323, 84.3599, 312.5807, 403.7592]]",051__20180323_S00033882_N__F613.json
20180323_S00033882_N__F655,val,减少峰数量并/或调整边界,3,2,-1,1,1,False,0.4979968515796486,0.4792542337751261,"[[223.56722308136003, 84.35990338164248, 295.69812308136, 403.75925925925924], [109.35483870967738, 232.80260331087734, 223.56722308136003, 403.75925925925924], [295.69812308136, 279.12947254287747, 333.010752688172, 403.75925925925924]]","[[109.3548, 232.8026, 223.5672, 403.7592], [223.5672, 84.3599, 293.1954887218045, 405.7894736842105]]",079__20180323_S00033882_N__F655.json
20180323_S00033882_N__F74,val,新增真峰,0,3,3,0,1,True,0.0,0.359392553861074,[],"[[154.09774436090225, 129.09774436090228, 189.06015037593988, 403.5338345864662], [189.43609022556393, 133.609022556391, 257.8571428571429, 402.406015037594], [258.23308270676694, 70.07518796992484, 318.38345864661653, 404.6616541353384]]",035__20180323_S00033882_N__F74.json
20180323_S00033882_N__F90,val,减少峰数量并/或调整边界,2,1,-1,1,1,False,0.3251344281875737,0.32513441050989267,"[[223.3126116978799, 84.35990338164245, 282.4731182795699, 403.75925925925924], [320.086805246267, 349.37319389209466, 365.26881720430106, 403.75925925925924]]","[[223.3126, 84.3599, 282.4731, 403.7592]]",081__20180323_S00033882_N__F90.json
6545A_20230727_-_57_18__F118,val,新增真峰,0,2,2,0,1,True,0.0,0.07072711765667733,[],"[[63.87218045112783, 67.06766917293236, 230.03759398496243, 334.7368421052632], [230.03759398496243, 91.87969924812032, 351.84210526315786, 332.48120300751884]]",137__6545A_20230727_-_57_18__F118.json
6545A_20230727_-_57_18__F124,val,增加峰数量并/或调整边界,3,4,1,1,1,False,0.08188121225251478,0.08188124573922262,"[[100.21505376344078, 118.45213242059599, 128.0121116070644, 403.75925925925924], [128.0121116070644, 84.3599033816425, 159.8924731182795, 403.75925925925924], [233.0107526881721, 191.95994606413734, 353.9784946236559, 403.75925925925924]]","[[100.2151, 118.4521, 128.0121, 403.7592], [128.0121, 84.3599, 159.8925, 403.7592], [159.215107518797, 86.23959924812029, 231.91729323308272, 404.6616541353384], [233.0108, 191.9599, 353.9785, 403.7592]]",003__6545A_20230727_-_57_18__F124.json
6545A_20230727_-_57_18__F177,val,增加峰数量并/或调整边界,2,4,2,1,1,False,0.5503736863864046,0.5503745228274125,"[[201.82795698924727, 111.92719072142553, 234.3822963446887, 403.7592592592593], [234.3822963446887, 84.35990338164245, 265.8064516129033, 403.7592592592593]]","[[201.828, 111.9272, 234.3823, 403.7592], [234.3823, 84.3599, 265.8065, 403.7592], [265.585307518797, 83.60802030075185, 340.9398496240602, 405.0375939849624], [340.77327744360895, 86.99147894736838, 435.30075187969925, 407.29323308270676]]",009__6545A_20230727_-_57_18__F177.json
6545A_20230727_-_57_18__F24,val,增加峰数量并/或调整边界,3,4,1,1,1,False,0.25134272190688545,0.30008784004263817,"[[199.13978494623657, 118.45213242059599, 236.8585788858496, 403.75925925925924], [338.38709677419365, 191.95994606413734, 435.1612903225808, 403.75925925925924], [236.8585788858496, 84.3599033816425, 269.03225806451604, 403.75925925925924]]","[[199.1398, 118.4521, 236.8586, 403.7592], [236.8586, 84.3599, 269.0323, 403.7592], [268.8134872180451, 83.60802030075187, 340.1879699248121, 404.28571428571433], [340.5639097744361, 191.50375939849627, 435.1613, 403.7592]]",004__6545A_20230727_-_57_18__F24.json
6545A_20230727_-_57_18__F347,val,调整边界,1,1,0,1,1,False,0.8393414301796078,0.5307901672405637,"[[189.90415534754695, 84.35990338164248, 377.09677419354836, 403.75925925925924]]","[[189.9042, 84.3599, 308.609022556391, 405.4135338345865]]",100__6545A_20230727_-_57_18__F347.json
6545A_20230727_-_57_18__F402,val,调整边界,2,2,0,1,1,False,0.4393446932080164,0.8629293017394174,"[[194.8387096774194, 84.35990338164251, 271.1827956989248, 403.75925925925924], [314.1935483870968, 121.90176729816046, 392.1505376344086, 403.75925925925924]]","[[154.8496240601504, 88.49624060150379, 313.49624060150376, 409.9248120300752], [314.1935, 121.9018, 392.1505, 403.7592]]",018__6545A_20230727_-_57_18__F402.json
6545A_20230727_-_57_18__F408,val,新增真峰,0,5,5,0,1,True,0.0,0.890061939844557,[],"[[68.00751879699251, 103.15789473684212, 159.73684210526318, 409.9248120300752], [159.73684210526318, 68.94736842105266, 242.44360902255642, 409.54887218045116], [242.44360902255642, 51.654135338345895, 299.96240601503763, 409.1729323308271], [299.5864661654135, 95.26315789473686, 321.76691729323306, 411.42857142857144], [322.5187969924812, 138.49624060150379, 378.15789473684214, 412.9323308270677]]",024__6545A_20230727_-_57_18__F408.json
6545A_20230727_-_57_18__F44,val,新增真峰,0,1,1,0,0,False,0.0,0.035528850533649764,[],"[[77.40601503759402, 66.6917293233083, 332.29323308270676, 373.83458646616543]]",142__6545A_20230727_-_57_18__F44.json
6545A_20230727_-_57_18__F447,val,新增真峰,0,5,5,0,1,True,0.0,0.9269481193150615,[],"[[67.63157894736844, 85.86466165413536, 157.10526315789474, 402.406015037594], [156.7293233082707, 85.11278195488724, 243.1954887218045, 403.90977443609023], [242.81954887218046, 165.93984962406017, 301.09022556390977, 404.6616541353384], [301.09022556390977, 187.36842105263162, 322.89473684210526, 406.54135338345867], [322.5187969924812, 246.015037593985, 367.25563909774434, 405.7894736842105]]",023__6545A_20230727_-_57_18__F447.json
6545A_20230727_-_57_18__F470,val,新增真峰,0,5,5,0,1,True,0.0,0.6558408984985197,[],"[[109.36090225563913, 80.22556390977446, 195.0751879699248, 409.1729323308271], [195.4511278195489, 65.56390977443611, 283.0451127819549, 410.30075187969925], [283.42105263157896, 138.87218045112786, 337.18045112781954, 413.68421052631584], [337.18045112781954, 175.71428571428575, 358.9849624060151, 416.69172932330827], [358.9849624060151, 249.02255639097748, 413.1203007518797, 419.3233082706767]]",025__6545A_20230727_-_57_18__F470.json
6545_20201012_22_+_QC 03__F275,val,删除全部真峰,1,0,-1,1,0,True,0.9570737672255213,0.0,"[[121.18279569892476, 84.35990338164248, 449.13978494623655, 403.75925925925924]]",[],090__6545_20201012_22_+_QC 03__F275.json
6545_20201012_22_+_QC 03__F343,val,减少峰数量并/或调整边界,4,3,-1,1,1,False,0.38461902988880337,0.3817037397558584,"[[224.05049999999994, 84.3599033816425, 286.4307333334021, 403.75925925925924], [201.82795698924727, 389.0827117110458, 224.05049999999994, 403.75925925925924], [286.4307333334021, 371.2085413301149, 331.39784946236557, 403.75925925925924], [148.06451612903228, 391.9920360193119, 173.3333333333333, 403.75925925925924]]","[[201.828, 389.0827, 224.0505, 403.7592], [224.0505, 84.3599, 286.0526315789474, 405.0375939849624], [285.3028804511278, 372.3363195488721, 332.29323308270676, 407.29323308270676]]",056__6545_20201012_22_+_QC 03__F343.json
6545_20201012_22_+_QC 03__F350,val,调整边界,1,1,0,0,0,False,0.04439275240136475,0.04857072987608186,"[[172.22398288100212, 84.35990338164248, 234.6236559139785, 403.7592592592593]]","[[177.78195488721803, 85.11278195488724, 234.6237, 403.7592]]",136__6545_20201012_22_+_QC 03__F350.json
6545_20201012_22_+_QC 03__F357,val,调整边界,1,1,0,1,1,False,0.8674723802967077,0.8229436144980251,"[[227.09677419354836, 84.3599033816425, 412.0430107526883, 403.75925925925924]]","[[227.0968, 84.3599, 402.59398496240607, 402.03007518796994]]",105__6545_20201012_22_+_QC 03__F357.json
6545_20201012_22_+_QC 03__F389,val,新增真峰,0,1,1,0,1,True,0.0,0.886499268683677,[],"[[181.91729323308272, 71.57894736842108, 439.0601503759398, 406.9172932330827]]",037__6545_20201012_22_+_QC 03__F389.json
6545_20201012_22_+_QC 03__F428,val,删除全部真峰,1,0,-1,1,0,True,0.9670174229463734,0.0,"[[146.56075788025032, 84.35990338164248, 447.5268817204301, 403.75925925925924]]",[],104__6545_20201012_22_+_QC 03__F428.json
D07P_NEG__F366,val,新增真峰,0,3,3,0,1,True,0.0,0.4216201458805271,[],"[[176.6541353383459, 82.48120300751881, 223.27067669172936, 401.27819548872185], [232.29323308270676, 64.06015037593987, 282.29323308270676, 402.7819548872181], [282.29323308270676, 144.8872180451128, 333.42105263157896, 403.15789473684214]]",030__D07P_NEG__F366.json
D07P_NEG__F397,val,调整边界,3,3,0,1,1,False,0.8081059601867099,0.8081077574176184,"[[237.51381215469613, 84.35990338164245, 270.7714428913471, 403.75925925925924], [180.29158993247393, 144.62456367999678, 221.38888888888889, 403.75925925925924], [270.7714428913471, 187.0612417268228, 315.8333333333333, 403.75925925925924]]","[[180.2916, 144.6246, 237.18045112781954, 404.6616541353384], [237.5138, 84.3599, 270.7715, 403.7592], [270.7715, 187.0612, 315.8333, 403.7592]]",148__D07P_NEG__F397.json
D07P_NEG__F425,val,增加峰数量并/或调整边界,1,2,1,0,1,True,0.001754672171933007,0.6610783332835575,"[[283.6111111111112, 84.35990338164248, 385.2777777777776, 403.75925925925924]]","[[215.37593984962405, 367.06766917293237, 283.796992481203, 404.28571428571433], [283.6111, 84.3599, 385.2778, 403.7592]]",114__D07P_NEG__F425.json
D07P_NEG__F452,val,减少峰数量并/或调整边界,3,2,-1,1,1,False,0.7517438778474514,0.7517433323612909,"[[227.56906077348063, 84.35990338164248, 281.7127071823205, 403.75925925925924], [360.90239410681403, 329.2312485150816, 390.2777777777777, 403.75925925925924], [312.5000000000001, 358.69538348106636, 336.38888888888886, 403.75925925925924]]","[[227.5691, 84.3599, 281.7127, 403.7592], [360.52646015037595, 329.98317969924807, 391.3157894736842, 405.7894736842105]]",058__D07P_NEG__F452.json
D07P_NEG__F481,val,新增真峰,0,1,1,0,1,True,0.0,0.43275618777874336,[],"[[243.57142857142856, 60.30075187969928, 266.1278195488722, 403.90977443609023]]",045__D07P_NEG__F481.json
D07P_NEG__F78,val,新增真峰,0,1,1,0,1,True,0.0,0.36617861968260973,[],"[[65.37593984962407, 56.54135338345868, 443.19548872180457, 395.2631578947369]]",140__D07P_NEG__F78.json
