duplicate_group_id,member_count,seed_ids,old_new_batches,source_files,seed_labels,label_conflict,rule
DUP-00022,2,OLD::HepG2-30V__F1187|OLD::HepG2-30V__F1189,old_final_reviewed_20260725,HepG2-30V,1,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00023,2,OLD::HepG2-30V__F1200|OLD::HepG2-30V__F1201,old_final_reviewed_20260725,HepG2-30V,1,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00024,2,OLD::HepG2-30V__F1262|OLD::HepG2-30V__F1264,old_final_reviewed_20260725,HepG2-30V,1,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00025,2,OLD::HepG2-30V__F1278|OLD::HepG2-30V__F1279,old_final_reviewed_20260725,HepG2-30V,1,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00026,2,OLD::HepG2-30V__F1314|OLD::HepG2-30V__F1315,old_final_reviewed_20260725,HepG2-30V,1,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00027,2,OLD::HepG2-30V__F1345|OLD::HepG2-30V__F1346,old_final_reviewed_20260725,HepG2-30V,1,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00028,3,OLD::HepG2-30V__F1353|OLD::HepG2-30V__F1354|OLD::HepG2-30V__F1355,old_final_reviewed_20260725,HepG2-30V,1,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00029,3,OLD::HepG2-30V__F1361|OLD::HepG2-30V__F1363|OLD::HepG2-30V__F1365,old_final_reviewed_20260725,HepG2-30V,1,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00030,2,OLD::HepG2-30V__F1369|OLD::HepG2-30V__F1370,old_final_reviewed_20260725,HepG2-30V,0|1,True,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00031,2,OLD::HepG2-30V__F1372|OLD::HepG2-30V__F1373,old_final_reviewed_20260725,HepG2-30V,1,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00032,2,OLD::HepG2-30V__F1453|OLD::HepG2-30V__F1454,old_final_reviewed_20260725,HepG2-30V,0,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00033,2,OLD::HepG2-30V__F1499|OLD::HepG2-30V__F1501,old_final_reviewed_20260725,HepG2-30V,1,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00034,2,OLD::HepG2-30V__F1519|OLD::HepG2-30V__F1520,old_final_reviewed_20260725,HepG2-30V,0,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00035,2,OLD::HepG2-30V__F1524|OLD::HepG2-30V__F1525,old_final_reviewed_20260725,HepG2-30V,1,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00036,2,OLD::HepG2-30V__F1697|OLD::HepG2-30V__F1698,old_final_reviewed_20260725,HepG2-30V,1,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00037,2,OLD::HepG2-30V__F1708|OLD::HepG2-30V__F1709,old_final_reviewed_20260725,HepG2-30V,1,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00038,3,OLD::HepG2-30V__F1787|OLD::HepG2-30V__F1788|OLD::HepG2-30V__F1789,old_final_reviewed_20260725,HepG2-30V,1,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00039,2,OLD::HepG2-30V__F807|OLD::HepG2-30V__F808,old_final_reviewed_20260725,HepG2-30V,1,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00040,2,OLD::HepG2-30V__F935|OLD::HepG2-30V__F936,old_final_reviewed_20260725,HepG2-30V,1,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00041,2,OLD::HepG2-30V__F992|OLD::HepG2-30V__F994,old_final_reviewed_20260725,HepG2-30V,1,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00042,2,OLD::Sphingolipid-BTWT-Cell-pellet_1__F264|OLD::Sphingolipid-BTWT-Cell-pellet_1__F431,old_final_reviewed_20260725,Sphingolipid-BTWT-Cell-pellet_1,1,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
DUP-00043,2,OLD::Urine-30V__F1164|OLD::Urine-30V__F1165,old_final_reviewed_20260725,Urine-30V,1,False,"connected component of same-source <=5 ppm, <=2 s, dHash Hamming <=4"
