source_file,left_seed_id,left_batch,left_label,right_seed_id,right_batch,right_label,mz_ppm,rt_delta_seconds,dhash_hamming,high_similarity,label_conflict
Blood-30V,OLD::Blood-30V__F1116,old_final_reviewed_20260725,1,OLD::Blood-30V__F1117,old_final_reviewed_20260725,1,3.8513237484567853,0.0,1,True,False
Blood-30V,OLD::Blood-30V__F1190,old_final_reviewed_20260725,1,OLD::Blood-30V__F1191,old_final_reviewed_20260725,1,4.27428702599416,0.0,1,True,False
Blood-30V,OLD::Blood-30V__F1191,old_final_reviewed_20260725,1,OLD::Blood-30V__F1192,old_final_reviewed_20260725,1,4.0109316770522225,0.0,2,True,False
Blood-30V,OLD::Blood-30V__F1214,old_final_reviewed_20260725,1,OLD::Blood-30V__F1215,old_final_reviewed_20260725,1,4.498709680276504,0.0,1,True,False
Blood-30V,OLD::Blood-30V__F1227,old_final_reviewed_20260725,1,OLD::Blood-30V__F1228,old_final_reviewed_20260725,1,4.835379194157365,0.0,0,True,False
Blood-30V,OLD::Blood-30V__F1255,old_final_reviewed_20260725,1,OLD::Blood-30V__F1256,old_final_reviewed_20260725,1,4.181632291962603,0.0,0,True,False
Blood-30V,OLD::Blood-30V__F1313,old_final_reviewed_20260725,0,OLD::Blood-30V__F1314,old_final_reviewed_20260725,0,4.601089244043238,0.0,0,True,False
Blood-30V,OLD::Blood-30V__F1318,old_final_reviewed_20260725,1,OLD::Blood-30V__F1319,old_final_reviewed_20260725,1,3.557776150909239,0.0,0,True,False
Blood-30V,OLD::Blood-30V__F1321,old_final_reviewed_20260725,0,OLD::Blood-30V__F1322,old_final_reviewed_20260725,1,3.4462814349433524,1.7800000000199745,3,True,True
Blood-30V,OLD::Blood-30V__F1396,old_final_reviewed_20260725,0,OLD::Blood-30V__F1397,old_final_reviewed_20260725,1,4.74778176096805,0.0,0,True,True
HepG2-30V,OLD::HepG2-30V__F807,old_final_reviewed_20260725,1,OLD::HepG2-30V__F808,old_final_reviewed_20260725,1,4.36390232286824,0.0,0,True,False
HepG2-30V,OLD::HepG2-30V__F935,old_final_reviewed_20260725,1,OLD::HepG2-30V__F936,old_final_reviewed_20260725,1,4.181208477465758,0.0,2,True,False
HepG2-30V,OLD::HepG2-30V__F992,old_final_reviewed_20260725,1,OLD::HepG2-30V__F994,old_final_reviewed_20260725,1,4.873312235718244,1.779979999980057,3,True,False
HepG2-30V,OLD::HepG2-30V__F1036,old_final_reviewed_20260725,1,OLD::HepG2-30V__F1037,old_final_reviewed_20260725,1,4.158641636293199,0.0,0,True,False
HepG2-30V,OLD::HepG2-30V__F1074,old_final_reviewed_20260725,1,OLD::HepG2-30V__F1076,old_final_reviewed_20260725,1,4.153792579022354,0.0,0,True,False
HepG2-30V,OLD::HepG2-30V__F1103,old_final_reviewed_20260725,1,OLD::HepG2-30V__F1105,old_final_reviewed_20260725,1,4.570665519710891,0.0,2,True,False
HepG2-30V,OLD::HepG2-30V__F1111,old_final_reviewed_20260725,0,OLD::HepG2-30V__F1112,old_final_reviewed_20260725,1,4.819916945797783,1.9999980125362526e-05,3,True,True
HepG2-30V,OLD::HepG2-30V__F1152,old_final_reviewed_20260725,1,OLD::HepG2-30V__F1153,old_final_reviewed_20260725,1,4.2597152263501075,0.0,0,True,False
HepG2-30V,OLD::HepG2-30V__F1187,old_final_reviewed_20260725,1,OLD::HepG2-30V__F1189,old_final_reviewed_20260725,1,4.4736383251561245,0.0,2,True,False
HepG2-30V,OLD::HepG2-30V__F1200,old_final_reviewed_20260725,1,OLD::HepG2-30V__F1201,old_final_reviewed_20260725,1,4.2769968749486935,0.0,0,True,False
HepG2-30V,OLD::HepG2-30V__F1262,old_final_reviewed_20260725,1,OLD::HepG2-30V__F1264,old_final_reviewed_20260725,1,3.881723798252457,0.8799600000001107,3,True,False
HepG2-30V,OLD::HepG2-30V__F1278,old_final_reviewed_20260725,1,OLD::HepG2-30V__F1279,old_final_reviewed_20260725,1,4.439845111063177,0.0,1,True,False
HepG2-30V,OLD::HepG2-30V__F1314,old_final_reviewed_20260725,1,OLD::HepG2-30V__F1315,old_final_reviewed_20260725,1,4.071622551560434,0.0,0,True,False
HepG2-30V,OLD::HepG2-30V__F1344,old_final_reviewed_20260725,1,OLD::HepG2-30V__F1345,old_final_reviewed_20260725,1,4.425160495645047,0.0,7,False,False
HepG2-30V,OLD::HepG2-30V__F1345,old_final_reviewed_20260725,1,OLD::HepG2-30V__F1346,old_final_reviewed_20260725,1,4.277992250289271,0.0,1,True,False
HepG2-30V,OLD::HepG2-30V__F1353,old_final_reviewed_20260725,1,OLD::HepG2-30V__F1354,old_final_reviewed_20260725,1,4.230375099338169,0.0,1,True,False
HepG2-30V,OLD::HepG2-30V__F1354,old_final_reviewed_20260725,1,OLD::HepG2-30V__F1355,old_final_reviewed_20260725,1,4.025096384931894,0.0,1,True,False
HepG2-30V,OLD::HepG2-30V__F1361,old_final_reviewed_20260725,1,OLD::HepG2-30V__F1363,old_final_reviewed_20260725,1,4.835853132844191,0.0,1,True,False
HepG2-30V,OLD::HepG2-30V__F1363,old_final_reviewed_20260725,1,OLD::HepG2-30V__F1365,old_final_reviewed_20260725,1,4.607087719354241,0.8800199999999592,2,True,False
HepG2-30V,OLD::HepG2-30V__F1369,old_final_reviewed_20260725,0,OLD::HepG2-30V__F1370,old_final_reviewed_20260725,1,4.932851395026609,0.0,2,True,True
HepG2-30V,OLD::HepG2-30V__F1372,old_final_reviewed_20260725,1,OLD::HepG2-30V__F1373,old_final_reviewed_20260725,1,4.10838498843457,0.0,1,True,False
HepG2-30V,OLD::HepG2-30V__F1453,old_final_reviewed_20260725,0,OLD::HepG2-30V__F1454,old_final_reviewed_20260725,0,4.843278149228888,0.879999999959935,4,True,False
HepG2-30V,OLD::HepG2-30V__F1472,old_final_reviewed_20260725,0,OLD::HepG2-30V__F1473,old_final_reviewed_20260725,1,4.607813254410914,0.0,5,False,True
HepG2-30V,OLD::HepG2-30V__F1499,old_final_reviewed_20260725,1,OLD::HepG2-30V__F1501,old_final_reviewed_20260725,1,4.296919994128718,0.0,0,True,False
HepG2-30V,OLD::HepG2-30V__F1519,old_final_reviewed_20260725,0,OLD::HepG2-30V__F1520,old_final_reviewed_20260725,0,4.8619744014486725,0.0,4,True,False
HepG2-30V,OLD::HepG2-30V__F1524,old_final_reviewed_20260725,1,OLD::HepG2-30V__F1525,old_final_reviewed_20260725,1,4.427410265293485,0.0,0,True,False
HepG2-30V,OLD::HepG2-30V__F1697,old_final_reviewed_20260725,1,OLD::HepG2-30V__F1698,old_final_reviewed_20260725,1,4.252629201134503,0.0,2,True,False
HepG2-30V,OLD::HepG2-30V__F1708,old_final_reviewed_20260725,1,OLD::HepG2-30V__F1709,old_final_reviewed_20260725,1,4.237134000135162,0.0,2,True,False
HepG2-30V,OLD::HepG2-30V__F1787,old_final_reviewed_20260725,1,OLD::HepG2-30V__F1788,old_final_reviewed_20260725,1,3.965907716879121,0.0,1,True,False
HepG2-30V,OLD::HepG2-30V__F1788,old_final_reviewed_20260725,1,OLD::HepG2-30V__F1789,old_final_reviewed_20260725,1,3.9404081954803183,0.0,0,True,False
Sphingolipid-BTWT-Cell-pellet_1,OLD::Sphingolipid-BTWT-Cell-pellet_1__F431,old_final_reviewed_20260725,1,OLD::Sphingolipid-BTWT-Cell-pellet_1__F264,old_final_reviewed_20260725,1,3.437917075254701,0.0,2,True,False
Urine-30V,OLD::Urine-30V__F1164,old_final_reviewed_20260725,1,OLD::Urine-30V__F1165,old_final_reviewed_20260725,1,4.774091458861658,0.0,0,True,False
