split,attribute,n,observed,missing,missing_fraction,mean,std,min,q25,median,q75,max
val,ENT,2507,2507,0,0.0,3.923457353408031,0.9574415568913625,1.244402622922642,3.2701721368261722,3.913400745661378,4.507756187822343,7.189705159732279
val,JAG,2507,2507,0,0.0,0.6678761862759391,0.35002750583127024,0.0,0.38742593811718234,0.631578947368421,0.9375,1.625
test,SNR,2285,2285,0,0.0,2.9994363006344247,1.0217926330731988,0.6277313541514452,2.3259375099054376,2.865014587636048,3.4957282645844794,10.158067422575026
test,CV,2285,2285,0,0.0,1.4839918516613597,0.7688854706844946,0.0236020799934454,0.9746525931677572,1.4297291615205745,1.8984039081975463,5.190278154692678
test,GS,2285,2285,0,0.0,1.49504579495059,0.7054847710024512,-0.3230972341186871,1.02100939468493,1.496371479863048,1.957278708046392,4.281298194364676
test,TPAS,2285,2285,0,0.0,0.39022749896165343,0.27985802649683034,-0.2857696702654254,0.2110213397827347,0.3982329663097521,0.5667149022771644,1.3315597859881625
test,H2B,2285,2285,0,0.0,0.19070129887089948,0.17965383430728302,0.0015116941091954,0.0912620238721611,0.1377318467515605,0.2135474095901113,1.0
test,ZZ,2285,2285,0,0.0,-1.388837645796427,0.5609855436845133,-3.2359392846098003,-1.7599664958034589,-1.3438103776990542,-1.006641999621103,0.2992615854877823
test,DZZ,2285,2285,0,0.0,0.5734670558920937,0.25171270946963487,-1.0285568145031574,0.4033640384179331,0.5595357949762252,0.7509815591603981,1.4576709072265226
test,PCC,2285,2285,0,0.0,2.022554771216035,0.7357986720607256,-0.5700492571956954,1.5461959411289596,1.991159189427638,2.5055999356919267,4.39759537874013
test,SKEW,2285,2285,0,0.0,1.7005858051477547,1.286295210657,-3.1549780060783257,0.9398328794721472,1.7042284417991294,2.449092797173784,7.837424235776075
test,DENT,2285,2285,0,0.0,3.676405223313882,1.2291644557569732,0.8700309683112339,2.818486146672349,3.502891003522855,4.217877147036539,10.05458218635857
test,DM,2285,2285,0,0.0,0.5352496491948782,0.2858095118022198,0.035778194736831,0.3300286271610034,0.4878190500631166,0.6878582916496856,2.0689655172413794
test,ENT,2285,2285,0,0.0,3.589440474605032,1.1106019755938958,0.3485665656353988,2.8104469014038256,3.5465935642949384,4.297079327540666,7.017044571785887
test,JAG,2285,2285,0,0.0,0.7044885013922588,0.3285013630075063,0.037037037037037,0.4444444444444444,0.68,0.9523809523809524,1.5555555555555556
all,SNR,15317,15317,0,0.0,2.808474535979486,0.9181844995085284,0.6277313541514452,2.194484808672514,2.7017600223574667,3.2953596931084985,11.622937791916156
all,CV,15317,15317,0,0.0,1.3637658258921082,0.6846424738729212,0.0074329847767728,0.8674589585805369,1.3199775981527613,1.7536614420272203,5.656854249492381
all,GS,15317,15317,0,0.0,1.454180898532519,0.7691466761838983,-0.3810791492225596,0.8595338995109261,1.4134307845827934,1.9878851048497173,4.281298194364676
all,TPAS,15317,15317,0,0.0,0.34405366663019143,0.2525638582830782,-0.2970560591590963,0.1657422666076745,0.3458502396388361,0.5153527290605097,1.3700200571066488
all,H2B,15317,15313,4,0.00026114774433635827,0.1939792013089444,0.17377056859234344,0.0014030819577653,0.0908246465055004,0.1457794119136779,0.2320666875381382,1.0
all,ZZ,15317,15317,0,0.0,-1.4267940154483458,0.765005933970035,-3.782315453239013,-1.939584748568106,-1.363296789940379,-0.8372451590875465,0.2992615854877823
all,DZZ,15317,15317,0,0.0,0.5756949396407409,0.3086197847778111,-1.8219719439607165,0.3484357629621104,0.5818897664544347,0.8228729325574661,1.47225846967514
all,PCC,15317,15317,0,0.0,2.080385656893339,0.9996539948817457,-2.1301024675807034,1.3261470969222824,2.02962458137914,2.7333323138557764,5.009984776341963
all,SKEW,15317,15317,0,0.0,1.4600054445904393,1.1517775763120868,-5.80219117761054,0.6877193624595686,1.4316965637267856,2.150861319794932,8.226661536352903
all,DENT,15317,15317,0,0.0,3.8508839258978504,1.3082314889549946,-0.0,3.014585310977932,3.7394285235631326,4.4926689725090965,10.253407136741403
all,DM,15317,15317,0,0.0,0.5356986168405308,0.35842814028918557,0.009254760910328,0.287867553184881,0.4501301804621056,0.6752582285596663,2.333333333333333
all,ENT,15317,15317,0,0.0,3.6798126113783685,1.1477326898885376,0.1959092708736049,2.9315107774877744,3.697796811598596,4.395859717341204,7.394890098654611
all,JAG,15317,15317,0,0.0,0.7301280329137537,0.3502579592822059,0.0,0.4516129032258064,0.7083333333333334,1.0,1.7
