Feature_ID,mz,RT,RTmin,RTmax,parent_masstrack_id,peak_area,cSelectivity,goodness_fitting,snr,detection_counts,SERUM-1_copy_P1-E4_1_step1_1
F91,558.3982,1.266,1.215,1.35,2445,59392,0.93,0.96,6,1,78202
F92,558.3982,2.386,2.343,2.486,2445,93036,1.0,0.78,7,1,109712
F93,477.3424,1.653,1.577,1.72,1232,44833,0.79,0.75,5,1,64077
F94,477.3424,2.141,2.04,2.242,1232,500646,1.0,0.98,40,1,525376
F95,410.3093,1.628,1.602,1.72,223,43247,1.0,0.76,5,1,57540
F96,558.4092,2.301,2.2,2.402,2446,120407,1.0,0.91,9,1,145500
F97,520.4507,5.4,5.375,5.468,1901,60044,0.71,0.76,10,1,73687
F98,477.3998,1.67,1.569,1.771,1233,144391,1.0,0.97,10,1,169269
F99,558.4175,1.72,1.619,1.821,2447,1699939,1.0,0.99,120,1,1724939
F100,410.3714,1.644,1.586,1.72,225,79457,1.0,0.99,8,1,99983
F101,520.5051,1.586,1.51,1.686,1902,155990,1.0,0.94,12,1,179688
F102,520.5051,1.804,1.771,1.863,1902,33534,0.8,0.92,5,1,47576
F103,477.8565,2.124,2.074,2.2,1234,153894,1.0,0.83,16,1,169897
F104,520.6931,3.514,3.421,3.615,1903,559165,1.0,0.94,41,1,589484
F105,478.194,2.192,2.091,2.293,1235,197353,0.96,0.97,10,1,223000
F106,558.4429,1.678,1.644,1.72,2450,41562,1.0,0.92,8,1,53605
F107,558.4429,1.796,1.72,1.897,2450,186520,1.0,0.9,22,1,209420
F108,520.865,2.377,2.31,2.47,1904,293209,1.0,0.89,26,1,313893
F109,558.4636,1.653,1.569,1.737,2451,164118,1.0,0.94,17,1,189530
F110,521.0273,3.514,3.421,3.606,1905,280774,1.0,0.98,21,1,303053
F111,558.9008,2.436,2.335,2.512,2452,64864,1.0,0.94,5,1,87968
F112,478.326,4.693,4.592,4.794,1246,80498,1.0,0.96,5,1,107079
F113,478.326,5.392,5.308,5.493,1246,115229,1.0,0.98,10,1,137873
F114,521.2536,2.369,2.276,2.444,1911,93594,1.0,0.99,8,1,113809
F115,411.3551,1.678,1.619,1.746,242,44484,1.0,0.88,5,1,59740
F116,559.0523,3.666,3.573,3.758,2453,177562,1.0,0.96,15,1,200400
F117,478.3572,2.15,2.074,2.2,1249,61928,1.0,0.76,7,1,80283
F118,412.3168,1.594,1.543,1.619,261,41918,1.0,0.99,7,1,53188
F119,412.3234,1.746,1.644,1.846,262,536669,1.0,1.0,34,1,563428
F120,478.3859,1.577,1.501,1.644,1251,227569,1.0,0.98,24,1,245776
F121,521.3316,1.965,1.863,2.049,1916,348132,1.0,0.97,10,1,383555
F122,521.3316,2.091,2.049,2.192,1916,158112,0.98,1.0,6,1,185266
F123,521.3316,2.613,2.512,2.714,1916,300419,1.0,0.99,9,1,337228
F124,559.3908,1.644,1.594,1.678,2455,58625,1.0,0.98,10,1,71194
F125,559.3908,3.691,3.59,3.792,2455,170886,1.0,0.85,13,1,197298
F126,559.4209,1.729,1.628,1.83,2457,565634,1.0,0.99,37,1,597047
F127,521.3398,5.375,5.274,5.476,1917,4680673,1.0,0.99,371,1,4705673
F128,479.2923,3.657,3.564,3.758,1261,157120,1.0,0.98,11,1,182234
F129,413.3217,1.661,1.569,1.729,285,171566,1.0,0.97,16,1,192273
F130,479.3895,1.594,1.526,1.678,1266,83684,1.0,0.87,10,1,100372
F131,559.469,1.644,1.569,1.746,2459,343381,1.0,0.98,32,1,371246
F132,521.3661,2.419,2.394,2.503,1919,84541,1.0,0.93,12,1,103664
F133,521.3661,3.497,3.421,3.598,1919,108791,1.0,0.9,8,1,132549
F134,480.3418,5.308,5.215,5.409,1284,294805,1.0,0.99,22,1,320667
F135,559.5134,1.628,1.526,1.729,2460,771289,1.0,1.0,78,1,798233
F136,559.5134,2.806,2.748,2.849,2460,34641,1.0,0.91,5,1,47790
F137,413.3712,1.686,1.611,1.779,287,79971,1.0,0.85,6,1,104124
F138,480.4219,1.653,1.56,1.746,1286,144261,1.0,0.94,11,1,169426
F139,521.3809,2.276,2.175,2.377,1920,1443229,1.0,0.98,110,1,1468229
F140,521.3809,5.366,5.324,5.468,1920,248418,0.95,0.9,25,1,266418
F141,560.2867,1.569,1.501,1.67,2461,181964,1.0,0.86,17,1,205404
F142,560.2867,5.35,5.257,5.451,2461,99639,0.97,0.99,8,1,124660
F143,521.4166,1.644,1.569,1.746,1921,238521,1.0,0.92,17,1,262468
F144,560.4095,1.703,1.602,1.746,2466,107287,1.0,0.72,13,1,118571
F145,560.4095,1.771,1.746,1.846,2466,65522,1.0,0.89,11,1,80579
F146,415.3165,1.628,1.569,1.729,316,98123,1.0,0.74,9,1,120295
F147,521.8826,2.276,2.175,2.377,1925,813937,1.0,0.99,60,1,846162
F148,560.4427,3.009,2.933,3.11,2467,85170,1.0,0.76,6,1,109504
F149,560.4427,3.186,3.11,3.278,2467,70025,1.0,0.87,6,1,91744
F150,481.259,2.503,2.402,2.605,1299,383725,1.0,0.99,11,1,410744
F151,560.4714,1.653,1.577,1.729,2468,104656,1.0,0.94,13,1,124939
F152,416.2133,1.628,1.543,1.729,320,514080,1.0,0.97,29,1,544254
F153,481.3094,3.623,3.59,3.666,1306,23806,1.0,0.89,5,1,30712
F154,560.5166,1.628,1.56,1.695,2469,283154,1.0,1.0,32,1,300783
F155,522.3346,1.948,1.846,2.049,1935,103255,0.86,0.99,6,1,129265
F156,522.3346,2.613,2.545,2.689,1935,57112,0.84,0.98,6,1,77444
F157,481.3464,5.324,5.24,5.4,1309,73668,1.0,0.99,6,1,94188
F158,561.2804,1.569,1.526,1.67,2470,58758,1.0,0.85,6,1,77789
F159,522.3519,5.35,5.249,5.451,1937,9848644,1.0,1.0,727,1,9873644
F160,416.2921,1.569,1.493,1.67,330,264119,1.0,0.98,23,1,288450
F161,482.2622,2.52,2.419,2.605,1318,78092,1.0,0.99,6,1,101160
F162,561.3304,1.653,1.611,1.712,2474,45080,1.0,0.92,8,1,57817
F163,561.3304,2.453,2.369,2.554,2474,72288,1.0,0.98,5,1,95628
F164,522.3839,2.276,2.175,2.377,1940,301091,1.0,0.94,23,1,327747
F165,561.341,1.636,1.602,1.686,2475,30624,1.0,0.95,5,1,42826
F166,482.3208,3.59,3.489,3.691,1324,329715,1.0,0.99,23,1,357043
F167,482.3208,5.417,5.316,5.518,1324,217384,1.0,0.99,17,1,243733
F168,522.3983,1.678,1.636,1.762,1941,53888,0.92,0.92,5,1,70119
F169,522.3983,5.366,5.266,5.459,1941,520331,1.0,0.93,37,1,548981
F170,561.3948,1.653,1.586,1.72,2477,177320,1.0,0.87,16,1,192105
F171,561.3948,1.804,1.72,1.906,2477,304104,1.0,0.96,22,1,327097
F172,417.2145,1.636,1.577,1.678,335,77139,1.0,0.98,10,1,93763
F173,522.4244,1.636,1.586,1.67,1942,43986,1.0,0.9,7,1,57122
F174,482.3647,1.678,1.577,1.779,1327,3415453,1.0,0.96,229,1,3440453
F175,482.3647,5.526,5.426,5.628,1327,437506,0.88,0.98,33,1,462506
F176,561.4837,1.636,1.535,1.737,2478,292327,1.0,0.93,27,1,317277
F177,417.295,1.577,1.518,1.67,346,73842,1.0,0.97,8,1,91340
F178,522.4331,1.703,1.602,1.804,1943,258252,1.0,0.97,10,1,284074
F179,561.5198,1.602,1.569,1.619,2479,23372,0.71,0.89,5,1,34292
F180,523.2993,1.67,1.628,1.771,1949,54261,1.0,0.77,5,1,74328
F181,482.4025,1.695,1.594,1.796,1328,467498,1.0,0.95,5,1,554994
F182,419.2734,1.653,1.594,1.754,363,171329,1.0,0.98,18,1,191693
F183,561.8572,2.461,2.419,2.562,2480,101780,1.0,0.75,9,1,119744
F184,523.3288,1.973,1.872,2.074,1952,125236,0.82,0.86,8,1,150766
F185,483.2435,5.375,5.291,5.459,1330,68624,1.0,0.99,5,1,91558
F186,562.3213,5.333,5.232,5.434,2484,172689,1.0,0.99,13,1,198731
F187,523.3556,5.358,5.257,5.459,1955,2774117,1.0,1.0,205,1,2799117
F188,419.3124,2.049,1.956,2.15,366,133251,1.0,0.99,11,1,157037
F189,483.3234,3.615,3.514,3.691,1339,81897,1.0,0.99,7,1,104280
F190,483.3234,5.426,5.35,5.501,1339,46062,1.0,0.89,5,1,65633
F191,421.3411,1.67,1.602,1.771,400,136395,1.0,0.98,12,1,160272
F192,562.3573,2.47,2.386,2.562,2487,96188,1.0,0.99,7,1,119667
F193,523.3886,1.653,1.577,1.754,1956,106316,1.0,0.9,8,1,129647
F194,523.3886,5.358,5.266,5.451,1956,108316,1.0,0.92,13,1,133175
F195,483.3606,5.535,5.442,5.611,1342,94816,1.0,0.99,8,1,116599
F196,422.3233,5.417,5.333,5.442,416,47446,1.0,0.83,5,1,64147
F197,523.4317,1.644,1.569,1.746,1957,209563,0.95,0.92,14,1,233206
F198,422.3439,1.712,1.611,1.813,417,194841,1.0,0.99,13,1,221081
F199,483.3689,1.661,1.56,1.762,1343,974763,1.0,0.97,63,1,1007193
F200,562.4453,1.594,1.552,1.628,2491,27126,1.0,0.8,5,1,34503
F201,524.2712,3.564,3.379,3.666,1962,190628,1.0,0.89,8,1,226295
F202,562.4877,1.644,1.602,1.686,2492,51161,1.0,0.81,8,1,65297
F203,483.4075,1.695,1.594,1.796,1345,183165,1.0,0.98,5,1,217628
F204,563.3731,1.695,1.611,1.796,2499,230910,0.95,0.93,14,1,253727
F205,484.2791,2.697,2.63,2.79,1350,60681,1.0,0.96,5,1,81059
F206,563.4244,1.644,1.577,1.746,2500,422755,1.0,0.97,51,1,445159
F207,484.3936,1.628,1.586,1.695,1358,58083,1.0,0.91,7,1,70650
F208,424.2797,1.636,1.577,1.729,449,134194,1.0,0.97,9,1,156069
F209,524.3688,5.324,5.223,5.426,1971,18374519,1.0,1.0,1355,1,18399519
F210,484.4079,1.661,1.602,1.754,1360,49107,1.0,0.81,5,1,69246
F211,564.3553,2.706,2.605,2.806,2509,1249682,1.0,0.99,32,1,1306768
F212,524.3973,5.324,5.274,5.366,1972,580321,1.0,0.99,78,1,592328
F213,424.3243,1.67,1.569,1.771,454,2305542,1.0,0.96,156,1,2330542
F214,485.346,1.703,1.636,1.729,1376,59489,1.0,0.88,9,1,74169
F215,424.3391,5.366,5.266,5.468,455,705722,1.0,0.95,59,1,731915
F216,524.415,5.324,5.223,5.426,1973,900242,1.0,0.96,67,1,932111
F217,564.3839,3.901,3.8,4.002,2512,695036,1.0,1.0,44,1,724924
F218,524.4466,1.67,1.594,1.771,1974,236847,1.0,0.96,18,1,257757
F219,424.3604,1.695,1.594,1.796,456,1260238,1.0,0.99,25,1,1315937
F220,485.3536,1.956,1.855,2.04,1377,798454,1.0,0.94,27,1,823325
F221,485.3536,2.082,2.04,2.124,1377,210840,0.83,0.9,12,1,222735
F222,485.3536,2.259,2.158,2.36,1377,2644188,1.0,1.0,103,1,2671222
F223,564.4312,1.644,1.543,1.746,2516,203377,1.0,0.92,21,1,228577
F224,525.286,2.596,2.495,2.697,1977,342495,1.0,0.99,13,1,380165
F225,564.7189,3.893,3.8,3.994,2517,508665,1.0,0.98,40,1,542323
F226,525.3713,5.316,5.215,5.417,1982,5377973,1.0,0.99,406,1,5402973
F227,485.3926,1.644,1.577,1.686,1381,41052,1.0,0.77,7,1,55136
F228,564.8918,2.554,2.453,2.655,2518,468622,1.0,0.99,34,1,497753
F229,485.3975,2.251,2.166,2.335,1382,117604,1.0,0.95,11,1,138857
F230,565.0532,3.893,3.792,3.994,2519,241335,1.0,0.76,15,1,267860
F231,525.4149,5.324,5.232,5.409,1984,293417,1.0,0.98,24,1,316564
F232,485.4283,1.678,1.594,1.737,1383,63167,1.0,0.95,6,1,85514
F233,525.4507,1.661,1.611,1.754,1985,80728,1.0,0.91,8,1,101348
F234,565.2798,2.444,2.36,2.545,2522,154791,1.0,0.99,11,1,179748
F235,485.8542,2.242,2.141,2.343,1384,1331690,1.0,0.99,93,1,1365271
F236,526.2888,2.605,2.529,2.689,1990,82313,0.74,0.99,5,1,102157
F237,526.2888,3.556,3.472,3.657,1990,355816,0.75,0.96,22,1,379463
F238,565.3581,2.714,2.613,2.815,2529,365583,1.0,0.99,20,1,391526
F239,486.3237,2.31,2.209,2.411,1399,150747,1.0,0.98,7,1,176175
F240,425.3238,1.67,1.577,1.771,478,611519,1.0,0.96,40,1,638649
F241,526.3717,5.324,5.223,5.426,1998,1013118,1.0,1.0,71,1,1045740
F242,565.3836,3.876,3.834,3.91,2531,35196,1.0,0.92,6,1,47058
F243,425.3426,5.366,5.291,5.459,479,211715,1.0,0.99,18,1,235326
F244,526.3919,1.729,1.628,1.83,2000,460195,1.0,1.0,30,1,486951
F245,486.3566,1.965,1.863,2.057,1403,248581,1.0,0.95,15,1,273430
F246,486.3566,2.242,2.15,2.343,1403,493159,1.0,0.99,36,1,515844
F247,565.3935,2.588,2.562,2.672,2532,122514,1.0,0.95,17,1,141813
F248,425.3634,1.695,1.619,1.796,480,390251,0.77,0.99,27,1,413066
F249,486.8561,2.234,2.166,2.335,1405,103967,1.0,0.98,8,1,126318
F250,526.4279,1.729,1.628,1.83,2001,295078,1.0,0.98,3,1,382970
F251,565.4011,1.577,1.51,1.644,2533,91149,1.0,0.98,9,1,109986
F252,565.4011,2.545,2.512,2.588,2533,77365,1.0,0.92,17,1,87369
F253,426.3318,1.67,1.577,1.746,498,127125,1.0,0.97,10,1,147361
F254,527.2918,3.564,3.472,3.666,2011,113497,0.79,0.95,7,1,138976
F255,426.3551,5.324,5.223,5.426,499,1004206,1.0,0.99,73,1,1032009
F256,565.4178,2.436,2.335,2.537,2534,2832858,1.0,0.99,198,1,2857858
F257,527.376,5.324,5.232,5.426,2017,148729,1.0,0.99,12,1,174012
F258,427.3575,5.333,5.232,5.434,501,242756,1.0,0.97,22,1,268650
F259,527.3945,1.729,1.628,1.83,2018,155637,1.0,0.99,10,1,180637
F260,527.4312,1.703,1.653,1.804,2021,87905,0.73,0.92,3,1,114598
F261,565.5632,1.594,1.493,1.695,2536,4777090,1.0,0.98,155,1,4810199
F262,428.3704,5.324,5.232,5.4,518,243395,1.0,0.98,20,1,262370
F263,565.9085,2.428,2.335,2.478,2539,1504414,1.0,0.97,128,1,1522414
F264,429.086,1.543,1.451,1.619,520,239285,1.0,0.99,21,1,259036
F265,528.4064,1.804,1.703,1.906,2034,162387,0.72,0.84,8,1,187992
F266,566.3177,5.324,5.223,5.426,2543,171462,1.0,0.99,12,1,196744
F267,429.2793,1.661,1.577,1.762,533,498390,1.0,0.94,37,1,524608
F268,566.3611,2.714,2.646,2.806,2548,75250,1.0,0.96,7,1,96858
F269,429.3155,1.67,1.602,1.771,538,466443,1.0,0.89,32,1,491685
F270,487.3226,1.661,1.586,1.762,1414,534468,1.0,0.89,42,1,558895
F271,487.3226,2.992,2.916,3.076,1414,68480,0.8,0.98,6,1,85713
F272,529.3704,1.712,1.628,1.813,2046,123703,1.0,0.98,9,1,148583
F273,566.4079,1.594,1.518,1.686,2550,80082,0.87,0.83,8,1,103471
F274,566.4079,2.428,2.327,2.529,2550,685991,1.0,0.99,48,1,714941
F275,529.3789,2.394,2.293,2.495,2047,6087292,1.0,0.99,453,1,6112292
F276,529.418,2.394,2.31,2.478,2048,308272,1.0,0.95,27,1,335035
F277,429.3701,1.586,1.484,1.686,542,994888,1.0,0.98,75,1,1023577
F278,429.3701,5.316,5.249,5.4,542,54772,0.72,0.9,5,1,74550
F279,566.4579,1.754,1.653,1.855,2552,172757,1.0,0.98,9,1,198382
F280,529.7017,3.438,3.346,3.506,2049,201530,1.0,0.93,18,1,226746
F281,430.0866,1.543,1.501,1.586,543,49731,1.0,0.79,8,1,61667
F282,566.5664,1.577,1.484,1.678,2553,1899679,1.0,0.98,124,1,1923679
F283,430.2819,1.661,1.586,1.762,553,146751,1.0,0.92,13,1,169981
F284,566.9113,2.419,2.377,2.495,2554,128873,1.0,0.97,14,1,144683
F285,487.3568,1.678,1.586,1.779,1418,111114,1.0,0.94,4,1,133222
F286,430.3181,1.678,1.611,1.779,558,130364,1.0,0.93,11,1,153230
F287,529.8835,2.394,2.293,2.495,2050,3395620,1.0,0.99,252,1,3420620
F288,430.3754,1.586,1.484,1.686,559,560074,1.0,0.99,42,1,588034
F289,487.3724,1.628,1.594,1.712,1420,44259,1.0,0.82,6,1,58116
F290,567.413,1.594,1.518,1.67,2562,88141,1.0,0.88,10,1,109509
F291,431.0826,1.552,1.468,1.594,561,48501,1.0,0.77,7,1,65825
F292,487.83,2.251,2.2,2.318,1424,73589,1.0,0.97,9,1,87967
F293,530.0367,3.43,3.329,3.522,2055,175550,1.0,0.94,16,1,204182
F294,567.5693,1.586,1.501,1.686,2566,416988,1.0,0.99,37,1,441983
F295,568.3343,5.299,5.198,5.4,2571,599331,1.0,1.0,40,1,628643
F296,568.385,2.411,2.352,2.512,2575,69124,1.0,0.93,6,1,89580
F297,431.243,1.619,1.543,1.712,569,75550,1.0,0.88,7,1,98746
F298,568.4231,1.602,1.501,1.703,2577,428057,1.0,0.98,32,1,460835
F299,488.3263,1.661,1.619,1.762,1434,136345,1.0,0.8,14,1,154974
F300,530.3083,1.678,1.577,1.779,2061,4109022,1.0,0.97,15,1,4318685
F301,431.3129,1.661,1.619,1.703,577,29123,1.0,0.87,5,1,41134
F302,431.3129,1.746,1.703,1.796,577,31002,1.0,0.92,5,1,45959
F303,488.3345,2.242,2.166,2.327,1435,65009,1.0,0.93,6,1,85372
F304,431.3496,1.586,1.526,1.686,579,102896,1.0,0.89,10,1,124638
F305,530.3721,3.421,3.354,3.472,2066,76692,1.0,0.96,8,1,91686
F306,431.3796,1.577,1.493,1.678,580,138700,1.0,0.9,12,1,162405
F307,569.3117,2.722,2.621,2.823,2583,271471,1.0,0.99,10,1,304413
F308,488.3606,1.644,1.611,1.67,1438,20748,1.0,0.97,5,1,29955
F309,530.3828,2.402,2.301,2.503,2067,1268570,1.0,0.99,88,1,1301656
F310,569.3296,1.417,1.375,1.518,2584,98836,1.0,0.85,13,1,119292
F311,530.4241,1.661,1.611,1.703,2070,62333,1.0,0.97,8,1,75267
F312,530.4241,2.411,2.327,2.478,2070,54288,1.0,0.87,5,1,73240
F313,489.3101,3.926,3.826,4.028,1448,225433,1.0,0.99,16,1,253049
F314,569.3395,5.308,5.206,5.4,2585,193406,1.0,0.99,14,1,220739
F315,531.271,1.594,1.535,1.67,2074,65129,1.0,0.97,7,1,83243
F316,569.3594,1.602,1.501,1.703,2587,306861,1.0,0.99,26,1,332671
F317,489.3334,1.594,1.493,1.628,1451,160234,1.0,0.92,19,1,177451
F318,432.2777,2.411,2.31,2.512,586,750663,1.0,1.0,8,1,875719
F319,569.4277,1.602,1.526,1.636,2590,182760,1.0,0.97,23,1,195803
F320,432.8126,2.099,2.074,2.141,590,26181,0.88,0.88,5,1,39200
F321,489.3468,1.644,1.611,1.72,1453,79664,1.0,0.85,14,1,95121
F322,531.3489,1.67,1.628,1.712,2080,41414,0.94,0.82,8,1,45138
F323,489.3528,1.594,1.543,1.628,1454,50091,1.0,0.89,8,1,61561
F324,569.4577,1.678,1.586,1.779,2592,235585,1.0,0.94,16,1,261701
F325,531.3633,1.636,1.552,1.695,2082,69801,0.78,0.8,6,1,91340
F326,433.2384,1.636,1.552,1.737,599,413694,1.0,0.97,31,1,438555
F327,489.8119,3.943,3.876,3.986,1456,58171,1.0,0.86,7,1,75556
F328,570.3011,1.653,1.586,1.754,2593,70696,1.0,0.93,5,1,91270
F329,531.3824,2.386,2.293,2.486,2083,90413,1.0,0.98,4,1,114152
F330,570.3139,2.706,2.646,2.806,2594,66838,1.0,0.87,6,1,88402
F331,490.3437,1.602,1.526,1.636,1466,59446,1.0,0.85,9,1,73903
F332,531.4051,1.569,1.468,1.67,2085,21351036,1.0,0.99,2024,1,21376036
F333,490.3499,1.644,1.619,1.72,1467,59046,1.0,0.91,8,1,73137
F334,531.453,1.586,1.484,1.653,2086,843847,1.0,0.91,83,1,861650
F335,433.2807,2.411,2.31,2.512,605,197297,1.0,0.98,7,1,224442
F336,491.0082,3.261,3.177,3.362,1468,380181,1.0,0.97,27,1,409190
F337,570.3524,1.602,1.526,1.703,2598,112745,1.0,0.99,10,1,136020
