source_mzml_name,resolved_path,sha256,size_bytes,duplicate_path_count,all_matching_paths,seed_job_count,peak_job_count,eic_tolerance_ppm
HetCD_mixneg.mzML,D:\LipidBench\data\ceshiji\HetCD_mixneg.mzML,dd844c99592efcb274901bf2427d25d0aed77d810dcd98052623a9016f9ebc9b,86189759,1,D:\LipidBench\data\ceshiji\HetCD_mixneg.mzML,506,205,15.0
NIST_Full scan_1_POS.mzML,D:\LipidBench\data\ceshiji\NIST_Full scan_1_POS.mzML,58db1eb2a4695bcc66fe5ca4c6c3ee522fb17674de1d68254cefe70e2a5ad6f4,108573207,1,D:\LipidBench\data\ceshiji\NIST_Full scan_1_POS.mzML,502,389,15.0
NIST_Full scan_2_NEG.mzML,D:\LipidBench\data\ceshiji\NIST_Full scan_2_NEG.mzML,222a19cccdc18c7eaf2c9c0ebc5ec34fe08614eca3e28e36a74dc8526825ab63,94894349,1,D:\LipidBench\data\ceshiji\NIST_Full scan_2_NEG.mzML,511,525,15.0
Sphingolipid-BTSPT-Cell-pellet_1.mzML,D:\LipidBench\data\ceshiji\Sphingolipid-BTSPT-Cell-pellet_1.mzML,02bd99de40365e927a1558b0dc5a373b70e9c943009744afcb2ce69dac0639a6,33735207,1,D:\LipidBench\data\ceshiji\Sphingolipid-BTSPT-Cell-pellet_1.mzML,533,328,15.0
Sphingolipid-BTSPT-OMV_1.mzML,D:\LipidBench\data\ceshiji\Sphingolipid-BTSPT-OMV_1.mzML,4b295a177b7a37ea1f57870ba957987de2bb53cae2520e287e688b5e9d5e439d,33370977,1,D:\LipidBench\data\ceshiji\Sphingolipid-BTSPT-OMV_1.mzML,535,434,15.0
Sphingolipid-BTWT-Cell-pellet_1.mzML,D:\LipidBench\data\ceshiji\Sphingolipid-BTWT-Cell-pellet_1.mzML,27f209d068c15dd8329c58e0a8fcaeb63b8a97853b90276f37eef250911d819b,33038062,1,D:\LipidBench\data\ceshiji\Sphingolipid-BTWT-Cell-pellet_1.mzML,542,479,15.0
Urine-15V.mzML,D:\LipidBench\data\ceshiji\Urine-15V.mzML,64887eee7aff64cf490bade2452980248c38156c4b903c6b91410a5771e7f583,210635813,1,D:\LipidBench\data\ceshiji\Urine-15V.mzML,486,856,15.0
Urine-30V.mzML,D:\LipidBench\data\ceshiji\Urine-30V.mzML,910059575ce69756b8d1ceba66b1eae8c76d007c50281d1412d650723ed9cb35,790500702,1,D:\LipidBench\data\ceshiji\Urine-30V.mzML,509,752,15.0
WTHFD_mixpos.mzML,D:\LipidBench\data\ceshiji\WTHFD_mixpos.mzML,b3f672a6c0717033e4529310e0d9cb6f0080d14ea72df4f5afa7ec1a794d6e08,103437577,1,D:\LipidBench\data\ceshiji\WTHFD_mixpos.mzML,488,264,15.0
frag1_pos20_1.mzML,D:\LipidBench\data\ceshiji\frag1_pos20_1.mzML,bc31e504f381bc703e88699ef10fdae546a5fd49f4673db8bae7c28bec2184de,133340269,1,D:\LipidBench\data\ceshiji\frag1_pos20_1.mzML,1000,923,15.0
