Feature_ID,mz,mzmin,mzmax,RT,RTmin,RTmax,intensity
F30,300.1479,300.1457,300.1492,2.9480,2.8910,3.1180,28153.6300
F31,303.1989,303.1946,303.2024,2.2900,2.2450,2.4490,90813.6700
F32,303.2403,303.2321,303.2479,2.2680,2.2560,2.4150,7953.4473
F33,304.1548,304.1520,304.1578,4.3190,4.2170,4.7270,11671.6540
F34,304.1553,304.1534,304.1581,4.0240,3.7070,4.2060,32369.0590
F35,304.1554,304.1529,307.1672,2.2900,2.2220,3.6960,6436413.0000
F36,308.1642,308.1611,308.1688,2.2900,2.2450,2.3360,12060.8190
F37,312.1217,312.1198,312.1237,3.8320,3.7300,3.9900,18848.3960
F38,320.1497,320.1478,320.1528,2.9360,2.7210,3.2760,31077.9080
F39,323.1631,323.1594,323.6678,5.3840,5.2600,5.5880,62404.1700
F40,323.1637,323.1617,323.1655,5.2030,5.1690,5.2370,8483.8160
F41,327.2018,327.2000,327.2052,1.7580,1.7460,1.9160,6574.0150
F42,329.1340,329.1278,329.1425,5.2710,5.2140,5.3160,10379.3790
F43,330.1705,330.1697,331.1756,2.1770,2.1320,2.2560,61142.0740
F44,330.1716,330.1701,331.6780,5.2600,5.1920,5.3500,695153.6000
F45,330.6729,330.6725,331.6756,5.3960,5.3500,5.4750,133113.4800
F46,332.3314,332.3302,332.3342,1.6330,1.5540,1.6670,10506.5150
F47,336.3260,336.3248,336.3271,1.0320,0.9870,1.0780,8831.8220
F48,338.1602,338.1571,338.1694,5.2820,5.2370,5.3280,6960.6064
F49,338.1637,338.1470,338.1696,5.3840,5.3390,5.5090,8084.0150
F50,344.2285,344.2251,344.2307,1.7690,1.7350,1.9160,9589.4700
F51,344.8758,344.8748,344.8786,9.9170,9.8950,10.0080,8073.5186
F52,346.0099,346.0066,346.0131,8.6030,8.4890,9.2600,28822.9040
F53,346.0102,346.0087,346.0114,8.2850,8.2400,8.4780,48742.3950
F54,347.0172,347.0134,347.0207,8.6030,8.5120,8.9200,24947.0530
F55,347.0172,347.0150,348.0236,8.2850,8.2400,8.5010,70395.3200
F56,348.1810,348.1763,348.1845,2.9020,2.8460,3.1400,9538.9840
F57,348.1814,348.1800,348.1836,2.7550,2.5960,2.8230,10889.1110
F58,351.0138,351.0115,351.0205,9.3850,9.3170,9.4070,9876.1110
F59,364.1766,364.1751,364.1785,3.9000,3.7860,4.0240,26860.4120
F60,368.9991,368.9964,369.0015,8.2850,8.2510,8.4330,15885.0850
F61,368.9991,368.9939,369.0036,8.6030,8.4440,8.8180,9927.7050
F62,369.3517,369.3488,370.3568,0.9870,0.9300,1.3610,24406.1170
F63,369.3522,369.3482,369.3555,13.7250,13.1920,13.9740,13540.2740
F64,369.3528,369.3522,369.3553,0.9080,0.8740,0.9420,11199.5970
F65,388.2545,388.2522,388.2565,1.8140,1.7800,1.9840,10689.4710
F66,391.2846,391.2804,391.2882,0.9300,0.0240,2.2340,6908.0310
F67,419.3160,419.3118,419.3206,0.9300,0.0010,2.2450,14820.3310
F68,426.3583,426.3549,426.3598,3.3560,3.2990,3.5820,32605.5640
F69,429.3736,429.3702,429.3757,0.9420,0.8960,1.0210,21889.6970
F70,430.3804,430.3765,430.3819,0.9420,0.8960,1.0100,24225.9260
F71,430.9139,430.9114,430.9173,7.4690,7.1860,7.5260,26631.3520
F72,432.2806,432.2763,432.2850,1.8710,1.8260,2.0410,9315.9710
F73,433.2565,433.2539,434.2615,6.8800,6.8460,7.0160,71276.2100
F74,461.2880,461.2863,461.2930,6.2790,6.2340,6.3470,9114.1720
F75,468.3093,468.3068,468.3122,5.2940,5.1800,5.3280,22988.3220
F76,476.3069,476.3034,476.3096,1.9280,1.8940,2.0750,8012.8390
F77,478.2230,478.2201,478.2267,3.0270,2.8000,3.2310,31489.9550
F78,478.2231,478.2212,479.2329,5.2600,5.1350,5.3620,25385.2200
F79,478.2234,478.2214,478.2253,5.3960,5.3620,5.4180,9897.2160
F80,478.2237,478.2197,478.2260,4.1150,4.0240,4.2510,10352.8890
F81,478.2942,478.2915,478.2961,5.4520,5.3390,5.4860,31109.7600
F82,479.2997,479.2946,479.3059,5.4520,5.3500,5.4640,6163.5820
F83,482.3242,482.3165,482.3333,5.2480,5.1460,5.2940,8079.1426
F84,491.3723,491.3706,491.3751,1.1000,1.0660,1.1680,5220.4673
F85,491.3749,491.3727,491.3778,1.2480,1.1910,1.2700,10750.1690
F86,494.3243,494.3192,495.3306,5.2370,5.1120,5.3280,41002.4260
F87,496.3419,496.3399,497.3463,5.1240,5.0900,5.1580,144351.9000
F88,498.3473,498.3449,498.3479,5.2140,5.1240,5.2480,51229.9100
F89,498.9016,498.8985,498.9044,7.4010,7.2090,7.5260,23132.6620
F90,510.3560,510.3518,510.3638,5.1800,5.0100,5.2260,19348.2300
F91,511.3594,511.3562,511.3640,5.1800,5.0780,5.2030,10388.2710
F92,513.3871,513.3849,513.3918,1.2700,1.2140,1.3040,10356.0420
F93,518.3239,518.3214,518.3256,5.1240,5.0900,5.1580,12206.2210
F94,518.3239,518.3223,519.3313,5.2140,5.1350,5.3280,52888.3100
F95,522.3553,522.3479,523.3642,5.0780,5.0440,5.1350,36541.4400
F96,522.3564,522.3511,522.3598,5.1690,5.1350,5.2480,329124.0300
F97,524.3723,524.3705,526.3859,5.1580,5.0330,5.2480,461996.2200
F98,524.3725,524.3695,524.3750,5.0560,5.0220,5.0900,48104.6600
F99,534.2976,534.2916,534.2998,5.2140,5.1690,5.2480,16463.9940
F100,536.1666,536.1623,536.1670,0.9190,0.8850,0.9530,65919.1250
F101,542.3238,542.3180,543.3364,5.1920,5.1010,5.2480,25293.3480
F102,544.3405,544.3374,545.3448,5.1580,5.0900,5.2140,96039.7200
F103,546.3557,546.3527,546.3577,5.0560,5.0330,5.1010,11537.9470
F104,547.3585,547.3561,548.3738,5.1580,5.0440,5.1920,26378.4280
F105,554.3944,554.3890,554.3947,5.2140,5.1580,5.2710,84559.8750
F106,558.2978,558.2934,558.3031,5.1920,5.0670,5.2370,14647.4110
F107,560.3099,560.3031,560.3126,5.1690,5.0670,5.2030,8207.6530
F108,566.3241,566.3196,566.3307,5.1460,5.0780,5.1800,9682.4480
F109,566.8891,566.8865,566.8952,7.4690,7.1520,7.5260,30946.6100
F110,568.3399,568.3369,568.3425,5.0330,5.0220,5.0780,3139.8567
F111,568.3405,568.3343,569.3505,5.1350,4.9760,5.1800,18875.6800
F112,570.3552,570.3476,570.3606,5.1240,5.0440,5.1800,10432.9795
F113,575.4678,575.4610,575.4717,1.0780,1.0440,1.1910,7963.5073
F114,577.4834,577.4805,577.4858,1.0890,1.0440,1.1570,13187.0320
F115,578.3951,578.3928,578.3994,5.2030,5.0900,5.2370,34163.3160
F116,580.4082,580.4033,580.4120,5.1690,5.0670,5.2140,23056.7870
F117,581.4122,581.4003,581.4171,5.1690,5.0670,5.2030,14182.8310
F118,583.4284,583.4253,583.4333,5.1580,5.0670,5.2030,14237.5270
F119,585.2725,585.2665,585.2758,4.0020,3.8880,4.1260,15241.3170
F120,593.4434,593.4405,593.4475,1.3270,1.2700,1.4060,18791.8670
F121,595.4954,595.4918,595.5018,1.1000,1.0550,1.1460,12085.0490
F122,597.5101,597.5064,597.5136,1.1000,1.0440,1.1340,10308.3280
F123,601.4404,601.4359,601.4421,1.3720,1.2930,1.4060,9497.3400
F124,617.4758,617.4736,617.4781,1.1120,1.0780,1.1680,9090.3860
F125,634.8766,634.8728,634.8813,7.4690,7.2770,7.5260,33883.1900
F126,645.3188,645.3138,647.3339,5.3730,5.1690,5.5880,114575.7000
F127,654.3328,654.3259,655.3422,1.0100,0.0120,7.3450,31148.8790
F128,654.3333,654.3281,654.3386,13.6000,12.0480,13.9740,109588.7200
F129,654.3335,654.3285,654.3383,11.7080,11.4930,12.0370,33430.6700
F130,655.3360,655.3281,655.3460,4.0130,2.8910,4.1380,26040.1540
F131,655.3378,655.3262,655.3547,4.2400,4.1720,4.9540,12710.9540
F132,659.3342,659.3333,661.3479,5.2600,5.1690,5.3620,232398.6100
F133,659.3345,659.3330,661.3463,5.3960,5.3620,5.4750,237927.2500
F134,662.5358,662.5315,662.5383,2.4720,2.4490,2.5060,3766.6392
F135,662.5365,662.5285,662.5438,0.9870,0.0120,2.2450,17568.7320
F136,662.5365,662.5307,662.5414,2.6420,2.5170,4.2170,15502.3160
F137,663.4546,663.4493,663.4602,12.5690,12.1050,13.0900,34586.8700
F138,663.4546,663.4475,663.4632,0.9080,0.0460,2.8570,189624.7800
F139,663.4549,663.4466,664.4675,4.0020,2.8570,5.8720,30108.0410
F140,663.5393,663.5342,663.5459,0.9870,0.9640,1.5420,25632.4470
F141,663.5432,663.5364,663.5460,0.9080,0.8850,0.9530,4703.0415
F142,664.4572,664.4516,664.4646,4.2960,4.1720,4.5910,13160.7870
F143,664.4573,664.4527,664.4642,0.6920,0.0240,0.7600,29210.7340
F144,664.4586,664.4512,664.4687,1.1570,0.9640,2.4150,12344.7670
F145,664.4586,664.4524,664.4628,0.9080,0.7720,0.9530,171080.0000
F146,664.4588,664.4546,664.4644,2.6300,2.4260,2.8460,24900.6210
F147,675.5454,675.5422,675.5481,4.9540,4.9200,5.0220,57577.9530
F148,680.4812,680.4745,681.4898,0.9080,0.0010,2.8910,142899.6200
F149,680.4814,680.4766,680.4872,12.5460,11.9910,12.8410,67429.5300
F150,680.4815,680.4762,680.4874,13.9400,12.8520,13.9740,71106.0100
F151,680.4815,680.4751,680.4882,3.9560,2.9020,4.5910,46599.8800
F152,681.4851,681.4789,681.4928,0.4770,0.0120,0.8620,33403.7100
F153,682.3640,682.3571,682.3718,6.5060,6.4830,7.3900,19383.1680
F154,682.3648,682.3552,682.3722,6.4150,6.1210,6.4610,19556.5350
F155,687.3291,687.3246,687.3346,2.6080,2.5280,2.8230,11562.9980
F156,695.3600,695.3544,695.3651,4.3760,4.2850,4.7720,29877.7660
F157,695.3602,695.3543,695.3682,5.1690,4.7840,6.1090,32422.1700
F158,695.3605,695.3539,695.3673,6.5170,6.3360,6.6990,16099.8410
F159,695.3610,695.3543,695.3684,6.2680,6.1210,6.3250,12550.2950
F160,701.5612,701.5599,702.5688,4.9200,4.8630,4.9880,103001.3600
F161,702.8644,702.8585,702.8674,7.4920,7.2990,7.5260,39259.6680
F162,703.5705,703.5662,703.5852,4.8520,4.7950,4.8740,3711.5444
F163,706.5389,706.5361,706.5458,4.3420,4.2960,4.4210,21878.7360
F164,706.5897,706.5785,706.5977,4.9200,4.8060,4.9760,10692.1940
F165,708.5126,708.5028,708.5215,6.5290,6.2110,7.3560,21096.6680
F166,708.5128,708.5067,708.5186,12.5460,12.0930,13.9740,41742.6000
F167,714.0020,713.9962,714.0097,8.2850,8.2510,8.4780,9064.7510
F168,714.0041,713.9984,714.0077,8.6030,8.5350,8.6480,6904.9130
F169,718.5785,718.5698,718.5951,4.2280,4.1720,4.2960,13472.6340
F170,720.5915,720.5850,720.5960,4.2740,4.2400,4.3300,13242.3270
F171,721.5078,721.5027,721.5130,12.5580,12.1730,12.9200,38279.5230
F172,721.5081,721.5056,721.5119,4.6140,4.3190,4.7610,71991.6950
F173,721.5081,721.5038,721.5114,13.4530,13.3060,13.5660,17622.1210
F174,721.5085,721.5024,721.5142,5.4860,4.7720,7.1520,41958.5600
F175,721.5085,721.5038,721.5126,13.6230,13.5780,13.9630,26176.3570
F176,721.5090,721.5008,721.5142,13.2040,12.9320,13.2940,8772.1460
F177,722.5115,722.5053,722.5189,5.4980,5.3500,6.6870,41880.7600
F178,722.5122,722.5055,722.5190,4.9080,4.2960,5.3390,18232.0960
F179,727.5743,727.5656,727.5776,4.8860,4.8180,4.9420,11075.8920
F180,729.5918,729.5859,730.5986,4.8860,4.7950,4.9540,49057.6330
F181,730.5399,730.5368,731.5532,4.2960,4.2400,4.3980,57200.6500
F182,732.5551,732.5519,735.5753,4.2960,4.2280,4.5120,215930.8000
F183,732.6107,732.6073,732.6128,4.8860,4.7950,4.9310,25236.8610
F184,733.6141,733.5961,733.6241,4.8740,4.7720,4.9650,9119.8680
F185,740.5244,740.5211,740.5297,4.3980,4.3640,4.4780,11272.4490
F186,742.5401,742.5350,742.5444,4.4440,4.3870,4.4890,11036.6360
F187,742.5760,742.5722,743.5859,4.1600,4.1150,4.2740,47497.9800
F188,744.5560,744.5488,744.5619,4.4550,4.3760,4.5000,23422.4770
F189,744.5560,744.5524,745.5624,4.2850,4.2060,4.3530,29186.8870
F190,744.5899,744.5860,745.6001,4.2170,4.1040,4.3420,36550.4060
F191,745.5582,745.5542,745.5622,4.4440,4.3420,4.5000,13546.8180
F192,746.5697,746.5644,748.6223,4.2740,4.1830,4.4660,32350.8610
F193,746.6044,746.5958,746.6097,4.2170,4.1260,4.3300,18573.3460
F194,747.6085,747.5958,747.6141,4.2060,4.1720,4.2960,12166.5830
F195,750.5418,750.5310,750.5488,4.2960,4.2060,4.3980,13013.5580
F196,751.5459,751.5396,751.5520,4.2850,4.2170,4.3760,12256.6850
F197,752.5600,752.5520,752.5706,4.2740,4.2060,4.4320,21198.2100
F198,753.5663,753.5584,753.5723,4.2400,4.2060,4.3640,11549.0040
F199,754.5430,754.5358,754.5550,4.2620,4.1830,4.3870,25263.3570
F200,755.5428,755.5366,755.5502,4.2510,4.1830,4.3640,16670.2440
F201,756.1625,756.1389,757.1838,4.2510,4.2170,4.3190,21127.2850
F202,756.5554,756.5532,757.5627,4.2620,4.1720,4.4890,208019.8800
F203,758.5717,758.5671,761.5940,4.2620,4.1720,4.9080,4562116.0000
F204,758.6267,758.6190,758.6302,4.8630,4.8290,4.9420,8156.4946
F205,759.2099,759.1829,759.2240,4.2740,4.2170,4.3080,16594.8550
F206,760.1514,760.1323,760.1587,4.2850,4.2170,4.3190,10289.2310
F207,762.5928,762.5892,764.6029,4.2510,4.1940,4.4320,201013.8900
F208,764.5234,764.5201,764.5255,4.3870,4.3420,4.4550,12588.1690
F209,766.5378,766.5309,766.5444,4.3870,4.2280,4.4780,15470.4260
F210,766.5762,766.5711,767.5844,4.0580,4.0130,4.2620,85095.5000
F211,768.5542,768.5484,769.5646,4.3760,4.2960,4.4320,25406.4040
F212,768.5565,768.5452,768.5648,4.2400,4.1260,4.2850,14866.7410
F213,768.5916,768.5851,770.6094,4.1260,4.0470,4.3300,142127.3000
F214,770.5676,770.5648,770.5705,4.3870,4.3640,4.4440,6166.7150
F215,770.5703,770.5621,770.5789,4.2280,4.1600,4.3530,18683.6520
F216,770.8512,770.8495,770.8558,7.4130,7.3450,7.5260,41446.5740
F217,771.6106,771.6041,771.6205,4.1600,4.0700,4.2740,25424.8320
F218,772.5870,772.5780,775.6127,4.2280,4.1830,4.4440,69852.5400
F219,772.6184,772.6138,773.6265,4.1830,4.0700,4.2740,24985.9500
F220,772.6830,772.6772,773.6913,13.6120,13.1580,13.9740,75861.2500
F221,777.6388,777.6336,777.6443,13.7250,13.2380,13.9630,6486.9976
F222,780.0962,780.0766,780.1111,4.1830,4.1380,4.2740,10189.9160
F223,780.5554,780.5506,781.5631,4.1830,4.1040,4.4440,170372.9800
F224,782.5717,782.5627,783.5781,4.1600,4.0920,4.5570,1731499.4000
F225,784.1034,784.0774,784.1219,4.2170,4.1490,4.2850,15498.1080
F226,784.5864,784.5784,785.5962,4.2060,4.0920,4.5910,1737157.5000
F227,785.1019,785.0872,785.1194,4.2400,4.1600,4.2960,14124.3770
F228,785.6541,785.6505,785.6624,4.8290,4.7840,4.9540,39739.6200
F229,786.4447,786.4288,786.4590,4.2060,4.1380,4.2620,9825.4030
F230,786.6024,786.5932,789.6265,4.2060,4.1150,4.5910,2142292.0000
F231,787.6677,787.6656,788.6790,4.8290,4.7380,4.9420,32795.7730
F232,790.6227,790.6126,790.6305,4.2060,4.1600,4.3640,41481.7970
F233,791.6269,791.6137,791.6341,4.2280,4.1720,4.3300,9665.2750
F234,792.5870,792.5520,792.6321,4.2740,4.2170,4.4100,18813.9430
F235,792.5920,792.5884,793.6000,4.0920,3.9450,4.2280,57090.1200
F236,794.6075,794.6010,795.6155,4.0810,3.9450,4.2510,143297.5000
F237,796.5872,796.5805,797.5968,4.1600,4.1260,4.2400,24219.4340
F238,796.6209,796.6149,798.6372,4.1150,4.0240,4.3190,106351.0600
F239,798.6014,798.5919,801.6412,4.1940,4.1040,4.3190,27208.2970
F240,799.6694,799.6667,799.6765,4.8180,4.7840,4.8970,13624.9780
F241,801.6824,801.6788,801.6855,4.8060,4.7950,4.9420,6731.0200
F242,804.5542,804.5501,805.5622,4.1490,4.0920,4.2850,33702.1100
F243,806.0163,805.9832,806.0343,4.1720,4.1040,4.2400,10673.5860
F244,806.5716,806.5635,807.5831,4.1380,4.0810,4.4440,610939.2500
F245,808.5865,808.5782,809.5959,4.1490,4.0700,4.4660,753550.5000
F246,809.6539,809.6462,809.6607,4.8180,4.7840,4.8860,9836.7030
F247,810.6026,810.5942,811.6098,4.1040,4.0470,4.5000,1380868.9000
F248,811.6698,811.6666,812.6755,4.8060,4.7720,4.9310,36601.0430
F249,812.6163,812.6068,815.6409,4.1600,4.0580,4.5120,542116.8000
F250,813.6855,813.6822,815.7042,4.8060,4.7040,4.9420,45724.6950
F251,816.6238,816.6199,819.6483,4.2850,4.1490,4.4440,64262.4840
F252,818.6076,818.6033,818.6120,4.0810,3.9340,4.1490,22108.6840
F253,820.5875,820.5822,820.5918,4.1150,4.0700,4.2060,9777.2720
F254,820.6210,820.6111,821.6309,4.0700,3.9450,4.1940,27410.0060
F255,820.6669,820.6608,821.6787,0.9870,0.0120,2.2560,20171.4360
F256,820.6678,820.6634,820.6725,13.4190,12.7840,13.9740,120853.0900
F257,820.6679,820.6594,820.6767,3.5260,2.3810,5.2030,64572.2700
F258,820.6755,820.6614,820.6868,2.3360,2.2900,2.3700,9598.8090
F259,820.7387,820.7344,820.7398,0.8960,0.8740,0.9640,11307.6210
F260,821.6701,821.6630,821.6775,0.8510,0.0120,0.9420,44366.2800
F261,821.6713,821.6665,821.6778,13.4190,12.9770,13.9740,78298.0000
F262,822.6371,822.6301,824.6554,4.0810,3.9790,4.2280,25025.9120
F263,824.6325,824.6174,824.6489,4.1600,4.1260,4.1720,4518.9570
F264,825.6228,825.6168,825.6288,13.3170,13.0110,13.3620,13282.7920
F265,825.6235,825.6184,825.6304,13.4190,13.3740,13.9740,25298.0980
F266,830.5699,830.5642,831.5835,4.1040,4.0240,4.2510,17693.3160
F267,832.5868,832.5800,833.5953,4.0920,4.0360,4.2510,82975.0550
F268,834.6026,834.5934,837.6268,4.0920,4.0130,4.3870,217019.8100
F269,838.6314,838.6230,839.6403,4.1150,4.0360,4.2400,66990.9800
F270,838.8397,838.8353,838.8449,7.4920,7.2880,7.5260,42078.3830
F271,840.6281,840.6180,841.6361,4.1600,4.0700,4.3300,23447.5880
F272,842.6389,842.6301,842.6455,4.2060,4.1380,4.3300,14797.9320
F273,843.6442,843.6337,843.6524,4.2060,4.1720,4.3300,15381.7090
F274,844.6535,844.6442,845.6643,4.2060,4.1600,4.3530,24443.0820
F275,846.7562,846.7543,846.7591,0.8960,0.8620,0.9760,23840.2580
F276,848.7696,848.7671,849.7792,0.8960,0.8740,0.9980,17879.1800
F277,866.6408,866.6335,866.6557,4.1260,4.0700,4.2060,12824.6940
F278,868.6579,868.6507,868.6679,4.1150,4.0810,4.2170,17006.6560
F279,870.6716,870.6606,870.6821,4.1720,4.1260,4.2400,11035.1580
F280,870.7561,870.7504,870.7630,0.8960,0.8620,0.9640,22335.6720
F281,872.7717,872.7695,872.7731,0.8960,0.8620,0.9870,46891.5800
F282,874.7865,874.7841,877.8130,0.9080,0.8620,1.0210,48480.1900
F283,901.8056,901.8021,901.8083,0.8960,0.8740,0.9640,9529.5280
F284,906.8266,906.8201,906.8300,7.4690,7.2880,7.5260,33926.7600
F285,974.8146,974.8104,974.8178,7.4010,7.3450,7.5260,27542.8070
F286,1042.8025,1042.7975,1042.8097,7.4690,7.3450,7.5150,25053.6880
F287,1178.7778,1178.7677,1178.7904,7.4580,7.3450,7.5150,17024.2250
