Feature_ID,mz,RTmin,RT,RTmax,npeaks,sn,HILIC-Pos-SWATH-25Da-20140701_08_GB004467_Swath25Da.mzML
F77,498.3473,5.1350,5.2140,5.2600,1.0000,96.0000,55438.6066
F78,502.2938,5.3620,5.3960,5.4300,1.0000,6061.0000,13082.5396
F79,505.3900,1.1460,1.2360,1.2700,1.0000,112.0000,13495.3617
F80,510.3558,5.1120,5.1920,5.2370,1.0000,66.0000,20646.9183
F81,513.3872,1.2020,1.2700,1.3380,1.0000,45.0000,9308.9100
F82,518.3238,5.0780,5.2140,5.3160,1.0000,35.0000,73148.3103
F83,519.3275,5.0900,5.2140,5.2710,1.0000,35.0000,22071.1797
F84,520.3421,5.1240,5.2030,5.2820,1.0000,2091.0000,481242.6426
F85,521.3448,5.1240,5.2030,5.2600,1.0000,95.0000,137376.1774
F86,522.3564,5.1010,5.1690,5.2600,1.0000,524.0000,371500.5983
F87,523.3595,5.1240,5.1690,5.2260,1.0000,117.0000,104140.9979
F88,524.3723,5.0780,5.1580,5.2370,1.0000,5235.0000,484026.3984
F89,525.3754,5.1120,5.1580,5.2140,1.0000,59107.0000,126565.0704
F90,526.3785,5.0780,5.1580,5.1920,1.0000,115.0000,24002.4618
F91,527.4034,1.1680,1.2590,1.3380,1.0000,78.0000,15749.1310
F92,534.2978,5.0900,5.2140,5.2710,1.0000,28.0000,22242.5476
F93,536.1666,0.8170,0.9190,1.0320,1.0000,431.0000,81207.5715
F94,542.3239,5.1120,5.1920,5.2480,1.0000,47.0000,27921.7264
F95,544.3405,5.0780,5.1580,5.2140,1.0000,802.0000,101734.1996
F96,545.3438,5.1120,5.1580,5.2260,1.0000,95.0000,32746.2764
F97,546.3552,5.0780,5.1580,5.2370,1.0000,541.0000,85202.1148
F98,547.3586,5.0900,5.1580,5.2030,1.0000,84.0000,26655.1730
F99,548.3664,5.0670,5.1580,5.2140,1.0000,60.0000,10987.3329
F100,549.4167,1.2360,1.2820,1.3610,1.0000,99.0000,16817.7840
F101,549.9184,1.2020,1.2820,1.3500,1.0000,107.0000,11328.9320
F102,554.1770,0.9080,0.9420,0.9870,1.0000,769.0000,32386.7473
F103,554.3945,5.1350,5.2140,5.2820,1.0000,478.0000,82886.3576
F104,566.8891,7.3110,7.4690,7.5600,1.0000,40.0000,34288.1510
F105,568.3408,5.0560,5.1350,5.1800,1.0000,55.0000,18332.2861
F106,571.4302,1.2700,1.3040,1.3840,1.0000,86.0000,15908.1044
F107,576.4119,1.0780,1.1120,1.1800,1.0000,83.0000,22718.7144
F108,578.3950,5.1240,5.2030,5.2600,1.0000,210.0000,34676.1261
F109,580.4081,5.1350,5.1800,5.2260,1.0000,11456.0000,23499.2613
F110,582.4254,5.1120,5.1580,5.2030,1.0000,273.0000,26107.8857
F111,593.4435,1.2590,1.3270,1.4060,1.0000,70.0000,17590.2447
F112,610.1851,0.8400,0.9080,0.9760,1.0000,121.0000,32382.1223
F113,611.1840,0.6360,0.9190,1.1910,1.0000,108.0000,27349.7205
F114,612.1823,0.8740,0.9080,0.9640,1.0000,115.0000,17259.1861
F115,615.4558,1.2700,1.3500,1.4400,1.0000,67.0000,17571.5582
F116,620.4374,1.1000,1.1340,1.1680,1.0000,438.0000,13631.9311
F117,628.1955,0.8960,0.9300,0.9980,1.0000,1142.0000,47760.6445
F118,629.1964,0.8960,0.9300,0.9980,1.0000,962.0000,26863.1301
F119,630.1950,0.8960,0.9300,0.9870,1.0000,843.0000,21642.0285
F120,634.8765,7.3110,7.4580,7.5370,1.0000,72.0000,36661.7102
F121,637.4693,1.3380,1.3840,1.4290,1.0000,165.0000,14603.2989
F122,645.3189,5.2710,5.3730,5.4640,1.0000,53.0000,156497.3499
F123,646.3222,5.2600,5.3730,5.4750,1.0000,40.0000,65799.4447
F124,654.3329,0.7720,1.0100,1.2480,1.0000,6.0000,79403.9652
F125,659.3342,5.3280,5.3280,5.4750,2.0000,1275.0000,295456.8004
F126,659.4830,1.3720,1.4060,1.4520,1.0000,154.0000,12085.9068
F127,659.8354,6.5400,6.5850,6.6310,1.0000,18747.0000,38391.2095
F128,660.3381,5.3280,5.3280,5.4750,2.0000,653.0000,133195.7587
F129,661.3405,5.3280,5.3960,5.4750,1.0000,169.0000,34396.3593
F130,661.3415,5.1920,5.2600,5.3280,1.0000,116.0000,30525.5700
F131,663.4549,0.7600,0.9190,1.0780,1.0000,263.0000,236760.3867
F132,664.4586,0.7600,0.9190,1.0660,1.0000,343.0000,186957.4238
F133,665.4611,0.8060,0.9190,1.0320,1.0000,62.0000,19472.8406
F134,672.8309,6.5400,6.5740,6.6190,1.0000,9010.0000,18373.3752
F135,676.5481,4.9080,4.9540,5.0330,1.0000,327.0000,25849.0275
F136,680.4816,0.7940,0.9190,1.0320,1.0000,209.0000,175661.2663
F137,681.4852,0.7940,0.9190,1.0320,1.0000,98.0000,85310.2244
F138,681.4940,1.4060,1.4290,1.4630,1.0000,6391.0000,12241.7449
F139,682.4877,0.8620,0.9190,0.9760,1.0000,71.0000,18169.6394
F140,689.5608,4.8970,4.9420,5.0100,1.0000,12792.0000,24894.7845
F141,690.5634,4.8970,4.9420,5.0330,1.0000,104.0000,11265.4720
F142,701.5612,4.8400,4.9200,5.0100,1.0000,3532.0000,104542.2064
F143,702.2144,0.8850,0.9300,1.0100,1.0000,7020.0000,40788.3751
F144,702.5644,4.8740,4.9200,4.9990,1.0000,20650.0000,42842.2531
F145,702.8645,7.2200,7.4350,7.6390,1.0000,54.0000,44228.5152
F146,703.2154,0.8960,0.9300,0.9640,1.0000,18747.0000,27285.6508
F147,703.5770,4.8740,4.9200,4.9990,1.0000,2530.0000,436377.4464
F148,704.2129,0.8960,0.9300,0.9870,1.0000,14755.0000,24583.4045
F149,704.5809,4.8400,4.9200,4.9990,1.0000,657.0000,171542.6828
F150,705.2112,0.8960,0.9300,0.9760,1.0000,6198.0000,12277.8623
F151,705.5829,4.8740,4.9200,4.9990,1.0000,489.0000,40153.4711
F152,705.5912,4.7840,4.8290,4.8860,1.0000,6620.0000,14458.9666
F153,706.5388,4.2850,4.3420,4.4320,1.0000,212.0000,25699.3759
F154,708.5123,6.4490,6.5290,6.6080,1.0000,8.0000,16468.7478
F155,720.5924,4.2170,4.2740,4.3530,1.0000,60.0000,14090.7903
F156,721.5080,3.9560,4.8180,5.3960,1.0000,27.0000,190458.3540
F157,721.5081,0.8400,0.9190,0.9760,1.0000,35.0000,16801.9275
F158,721.5088,5.4070,5.4860,5.5540,1.0000,9.0000,30170.7014
F159,725.5584,4.8630,4.9200,4.9880,1.0000,8300.0000,23952.8514
F160,726.5624,4.8740,4.9200,5.0100,1.0000,221.0000,11487.6202
F161,729.5918,4.8180,4.8860,4.9650,1.0000,562.0000,51458.7689
F162,730.5399,4.2280,4.2960,4.3870,1.0000,352.0000,68338.0420
F163,730.5956,4.8400,4.8860,4.9540,1.0000,9280.0000,22795.9298
F164,731.5443,4.2620,4.2960,4.3870,1.0000,196.0000,35776.9572
F165,731.6071,4.8290,4.8860,4.9760,1.0000,410.0000,55166.6628
F166,732.5551,4.2170,4.2960,4.3870,1.0000,828.0000,246340.3811
F167,732.6108,4.8290,4.8860,4.9420,1.0000,439.0000,26044.1207
F168,733.5589,4.2280,4.2960,4.3870,1.0000,995.0000,105006.7362
F169,734.5686,4.2400,4.2960,4.3870,1.0000,471.0000,101066.9128
F170,735.5724,4.2510,4.2960,4.3870,1.0000,259.0000,40540.7095
F171,742.5759,4.0810,4.1720,4.2740,1.0000,365.0000,57431.9525
F172,743.5795,4.0920,4.1720,4.2510,1.0000,432.0000,26140.3046
F173,744.5560,4.1940,4.3640,4.3640,2.0000,13.0000,23581.1457
F174,744.5899,4.0920,4.2170,4.3080,1.0000,63.0000,50822.8283
F175,745.5578,4.2280,4.2850,4.3640,1.0000,37.0000,13990.9631
F176,746.5693,4.2170,4.3590,4.3640,2.0000,699.0000,36403.2699
F177,746.6073,4.1260,4.2170,4.3420,1.0000,24.0000,25549.0532
F178,750.5422,4.0580,4.2960,4.3980,1.0000,74.0000,22516.7922
F179,752.5616,4.2170,4.2740,4.3760,1.0000,28.0000,18188.8045
F180,754.5415,4.1720,4.2280,4.3190,1.0000,49.0000,20847.0943
F181,756.5553,4.1600,4.2620,4.3530,1.0000,588.0000,246147.6763
F182,757.5592,4.1720,4.2620,4.3530,1.0000,1046.0000,125745.8092
F183,757.6231,4.8180,4.8520,4.9080,1.0000,112.0000,16516.2180
F184,758.5717,4.1720,4.2620,4.3530,1.0000,8102.0000,5080982.0480
F185,759.5751,4.1720,4.2740,4.3640,1.0000,6879.0000,2556771.8630
F186,759.6375,4.7720,4.8520,4.9420,1.0000,158.0000,29462.5978
F187,760.5850,4.1600,4.2510,4.3530,1.0000,4973.0000,2604155.1372
F188,760.6411,4.8060,4.8520,4.9420,1.0000,317.0000,13710.9239
F189,761.5893,4.1720,4.2510,4.3530,1.0000,2564.0000,924746.2512
F190,761.6297,4.8860,4.9200,4.9540,1.0000,5666.0000,10615.1569
F191,762.5929,4.1830,4.2510,4.3530,1.0000,682.0000,242511.5999
F192,763.5970,4.1940,4.2510,4.3530,1.0000,150.0000,55295.5063
F193,766.5375,4.3080,4.3760,4.4890,1.0000,45.0000,20093.5382
F194,766.5762,4.0020,4.0700,4.1830,1.0000,460.0000,100749.3774
F195,767.5797,4.0020,4.0700,4.1830,1.0000,175.0000,53311.5052
F196,768.5544,4.1600,4.3640,4.5120,1.0000,26.0000,33045.5414
F197,768.5919,4.0360,4.1380,4.2400,1.0000,248.0000,174118.6504
F198,769.5953,4.0360,4.1260,4.2400,1.0000,289.0000,74753.2699
F199,770.5691,4.1490,4.2280,4.2850,1.0000,17.0000,18738.3966
F200,770.6048,4.0580,4.1600,4.2510,1.0000,126.0000,66460.7437
F201,770.8510,7.3110,7.4130,7.5370,1.0000,75.0000,42793.3452
F202,771.6103,4.0700,4.1720,4.2740,1.0000,117.0000,30148.4206
F203,772.5870,4.1600,4.2400,4.3420,1.0000,231.0000,83728.5611
F204,772.6183,4.0240,4.1830,4.3980,1.0000,36.0000,24646.4693
F205,772.6827,13.5210,13.6230,13.8840,1.0000,26.0000,65641.3449
F206,772.6841,13.3740,13.4420,13.5210,1.0000,25.0000,26467.8841
F207,773.5903,4.1720,4.2510,4.3420,1.0000,8592.0000,39089.4701
F208,774.6016,4.1720,4.2280,4.3190,1.0000,522.0000,43409.2677
F209,776.2337,0.8850,0.9190,0.9760,1.0000,1002.0000,32061.4742
F210,777.2337,0.8850,0.9190,0.9760,1.0000,767.0000,21993.2368
F211,778.2321,0.8740,0.9190,0.9870,1.0000,12422.0000,23038.8134
F212,780.5558,4.0920,4.1830,4.2850,1.0000,524.0000,206953.9675
F213,781.5588,4.0920,4.1830,4.2850,1.0000,201.0000,102319.7656
F214,782.5718,4.0920,4.1720,4.2740,1.0000,4709.0000,2114096.8978
F215,783.5749,4.0920,4.1720,4.2740,1.0000,4270.0000,966035.9971
F216,784.5868,4.1150,4.2060,4.3080,1.0000,6909.0000,2237990.5232
F217,785.5903,4.1260,4.2170,4.3080,1.0000,2195.0000,899212.9256
F218,785.6539,4.7500,4.8290,4.9200,1.0000,380.0000,47114.6549
F219,786.6024,4.1260,4.2170,4.3080,1.0000,4869.0000,2712718.1887
F220,786.6577,4.7840,4.8290,4.9080,1.0000,233.0000,21713.0305
F221,787.6058,4.1260,4.2170,4.3080,1.0000,2715.0000,1129913.3297
F222,787.6675,4.7500,4.8290,4.9200,1.0000,180.0000,33030.0536
F223,788.6140,4.1150,4.2060,4.3080,1.0000,1158.0000,575832.1821
F224,789.6191,4.1150,4.2060,4.3080,1.0000,343.0000,187234.6277
F225,790.6232,4.1490,4.2060,4.2960,1.0000,41.0000,48054.5957
F226,792.5921,3.9220,4.0810,4.2060,1.0000,8743.0000,69467.7659
F227,793.5955,3.9560,4.0920,4.2060,1.0000,382.0000,36448.2900
F228,794.6075,3.9900,4.0920,4.2060,1.0000,907.0000,176815.0537
F229,795.6107,3.9900,4.0920,4.1940,1.0000,342.0000,88348.6249
F230,796.5872,4.1150,4.1720,4.2510,1.0000,74.0000,22613.9685
F231,796.6208,3.9680,4.1150,4.2510,1.0000,441.0000,127212.0143
F232,797.6252,4.0020,4.1150,4.2170,1.0000,482.0000,61488.6547
F233,798.6019,4.1150,4.1940,4.2960,1.0000,7782.0000,34137.6221
F234,798.6322,4.0240,4.1150,4.2510,1.0000,123.0000,22492.4446
F235,799.6694,4.7610,4.8180,4.9080,1.0000,96.0000,15567.7284
F236,804.5541,4.0700,4.1600,4.2400,1.0000,755.0000,37325.5584
F237,805.5590,4.0920,4.1600,4.2400,1.0000,74.0000,19182.3783
F238,806.5717,4.0580,4.1490,4.2400,1.0000,1677.0000,660102.1495
F239,807.5746,4.0700,4.1490,4.2400,1.0000,792.0000,345955.8694
F240,808.5866,4.0360,4.1380,4.2510,1.0000,1773.0000,878974.8389
F241,809.5902,4.0580,4.1490,4.2510,1.0000,682.0000,413339.2169
F242,810.6027,4.0360,4.1260,4.2400,1.0000,1753.0000,1562741.0818
F243,811.6059,4.0360,4.1260,4.2400,1.0000,1019.0000,672108.8725
F244,811.6697,4.7610,4.8180,4.8970,1.0000,219.0000,42233.1408
F245,812.6167,4.0580,4.1600,4.2620,1.0000,1209.0000,763615.6400
F246,812.6741,4.7720,4.8180,4.8860,1.0000,8388.0000,21424.5123
F247,813.6215,4.0700,4.1720,4.2620,1.0000,574.0000,316689.1214
F248,813.6853,4.7270,4.8060,4.8970,1.0000,301.0000,52844.1665
F249,814.6265,4.0810,4.1720,4.2620,1.0000,149.0000,117937.6755
F250,814.6879,4.7040,4.8180,4.9420,1.0000,148.0000,27254.3327
F251,815.6312,4.0580,4.1830,4.3080,1.0000,25.0000,34244.3729
F252,816.6235,4.2060,4.2850,4.4210,1.0000,948.0000,73791.2449
F253,817.6275,4.2060,4.2850,4.4320,1.0000,177.0000,33793.9269
F254,818.6076,3.9450,4.0700,4.1600,1.0000,4273.0000,25971.5097
F255,818.6368,4.1940,4.2850,4.3760,1.0000,54.0000,33043.6789
F256,818.7237,0.8620,0.8960,0.9760,1.0000,510.0000,12003.7882
F257,820.6212,3.9680,4.0810,4.1830,1.0000,233.0000,34392.7663
F258,820.6679,13.3280,13.3340,13.5100,2.0000,24.0000,59971.2212
F259,820.6669,0.3860,0.9870,1.0100,1.0000,10.0000,59133.3580
F260,820.7388,0.8510,0.8960,0.9530,1.0000,5045.0000,13853.5651
F261,822.6372,3.9680,4.0810,4.1830,1.0000,433.0000,33693.8203
F262,830.5698,4.0130,4.1150,4.2170,1.0000,51.0000,25474.4549
F263,832.5869,4.0130,4.1040,4.2060,1.0000,716.0000,102761.9484
F264,833.5900,4.0360,4.1040,4.1830,1.0000,14121.0000,53369.4396
F265,834.6028,4.0130,4.1040,4.2060,1.0000,1406.0000,271846.2421
F266,835.6064,4.0130,4.0920,4.1940,1.0000,86488.0000,179474.6453
F267,836.6167,4.0130,4.1150,4.2170,1.0000,650.0000,185072.8510
F268,837.6215,4.0130,4.1150,4.2280,1.0000,280.0000,93156.6749
F269,838.6319,4.0240,4.1150,4.2170,1.0000,371.0000,76061.9065
F270,838.8400,7.2880,7.4350,7.5370,1.0000,97.0000,44509.1568
F271,839.6354,4.0240,4.1260,4.2060,1.0000,108.0000,31641.4534
F272,840.6257,4.1260,4.1720,4.2510,1.0000,123.0000,25182.6149
F273,842.6388,4.1260,4.2060,4.3080,1.0000,75.0000,24170.1832
F274,844.6540,4.1490,4.2280,4.3980,1.0000,27.0000,25814.6761
F275,844.7401,0.8620,0.8960,0.9530,1.0000,7227.0000,16939.4225
F276,846.7562,0.8510,0.8960,0.9870,1.0000,10265.0000,29492.5411
F277,847.7591,0.8620,0.8960,0.9640,1.0000,5695.0000,17018.2793
F278,848.7697,0.8510,0.9080,0.9980,1.0000,7364.0000,23539.6088
F279,850.2531,0.8740,0.9190,0.9980,1.0000,1802.0000,21782.9146
F280,851.2535,0.8850,0.9190,0.9640,1.0000,10438.0000,16002.9329
F281,852.2513,0.8740,0.9190,1.0100,1.0000,443.0000,14959.7453
F282,868.6576,4.0700,4.1260,4.2280,1.0000,165.0000,19524.6054
F283,870.7561,0.8510,0.8960,0.9760,1.0000,598.0000,26965.0791
F284,871.7598,0.8620,0.8960,0.9530,1.0000,4413.0000,13125.0767
F285,872.7717,0.8510,0.8960,0.9870,1.0000,21411.0000,57393.6255
F286,873.7748,0.8620,0.8960,0.9870,1.0000,11042.0000,33724.6484
F287,874.7866,0.8510,0.9080,0.9980,1.0000,1215.0000,58617.4980
F288,875.7907,0.8510,0.9080,0.9980,1.0000,234.0000,30716.3439
F289,876.8005,0.8620,0.9080,1.0100,1.0000,510.0000,26974.2879
F290,896.7708,0.8620,0.8960,0.9760,1.0000,403.0000,18193.8644
F291,898.7872,0.8620,0.8960,0.9870,1.0000,139.0000,21453.7352
F292,899.7911,0.8620,0.8960,0.9530,1.0000,3755.0000,10338.8872
F293,900.8009,0.8620,0.9080,0.9870,1.0000,3909.0000,14745.8268
F294,904.5923,5.4300,5.4640,5.5200,1.0000,12807.0000,26469.7133
F295,905.5952,5.4300,5.4640,5.5090,1.0000,6707.0000,14682.6553
F296,906.8267,7.3110,7.4350,7.5370,1.0000,539.0000,36171.5754
F297,974.8143,7.3110,7.4130,7.5370,1.0000,4968.0000,28704.9303
F298,991.6778,5.1800,5.2140,5.2480,1.0000,358.0000,32255.9088
F299,1042.8013,7.3220,7.4690,7.5370,1.0000,3935.0000,27108.2032
