Feature_ID,mz,RTmin,RT,RTmax,Height,Area,Estimated noise,S/N,Sharpness,Gaussian similarity,Ideal slope,Symmetry
F21,230.88232,0.032,0.652,2.171,6990,385272,1.0,6990.43,12.639,0.796,1.0,0.634
F22,235.84782,0.393,0.652,1.911,1246,42228,1.0,1245.654,4.984,0.886,0.937,1.0
F23,270.91074,0.393,0.652,1.273,2743,100857,1.0,2569.765,8.663,0.593,1.0,0.429
F24,297.93116,0.135,0.652,1.911,4158,186773,1787.619,2.32589,9.329,0.832,0.984,0.756
F25,341.82758,0.393,0.652,1.911,2304,95157,1.0,2303.637,8.646,0.828,0.997,0.714
F26,62.5497,0.032,0.738,1.911,1741,72773,1.0,1740.784,11.178,0.726,0.993,0.478
F27,88.93296,0.032,0.738,1.911,10747,534291,1372.47,7.83014,12.229,0.784,1.0,0.625
F28,90.9979,0.393,0.738,1.738,15821,624780,5174.735,3.05738,13.985,0.755,0.995,0.61
F29,101.95157,0.221,0.738,1.738,8815,231422,2134.217,4.13048,24.98,0.904,0.992,0.5
F30,102.93261,0.393,0.738,1.911,3427,106892,1.0,3427.468,8.883,0.735,0.99,0.667
F31,123.87765,0.135,0.738,1.652,10879,503525,5236.91,2.0774,18.209,0.661,1.0,0.444
F32,125.87299,0.393,0.738,1.911,147767,5481504,7061.263,20.92639,44.78,0.762,0.992,0.61
F33,126.88135,0.032,0.738,1.911,8440,418678,1068.751,7.89703,12.145,0.813,1.0,0.625
F34,127.87006,0.393,0.738,1.652,93547,3463425,4797.799,19.49781,35.62,0.741,0.999,0.61
F35,128.87755,0.393,0.738,1.911,6338,221245,1.0,6338.19,11.253,0.851,0.993,0.47
F36,129.86706,0.393,0.738,1.911,14314,544935,1167.186,12.26401,14.0,0.753,1.0,0.634
F37,145.94144,0.393,0.738,1.186,13698,348614,5817.932,2.20711,28.669,0.656,1.0,0.5
F38,148.90066,0.135,0.738,1.911,2905,133112,1.0,2904.895,9.936,0.795,1.0,0.625
F39,151.9073,0.393,0.738,1.911,2074,68096,1.0,2073.509,7.495,0.925,1.0,0.798
F40,153.89962,0.393,0.738,1.911,3737,135735,569.207,6.56523,9.617,0.785,0.978,0.634
F41,157.86284,0.393,0.738,1.738,28583,1047746,1977.391,14.45515,21.806,0.771,0.999,0.61
F42,161.84216,0.032,0.738,2.344,26163,1443211,1408.349,18.57734,8.107,0.968,0.998,0.857
F43,161.84962,0.032,0.738,2.344,30022,1664474,1568.327,19.14296,21.611,0.796,0.998,0.634
F44,163.84631,0.032,0.738,2.344,25926,1432298,1831.163,14.1584,23.022,0.783,0.999,0.634
F45,163.92849,0.393,0.738,1.652,7211,250646,6333.891,1.13843,18.781,0.569,1.0,0.488
F46,174.84158,0.393,0.738,2.171,7305,270457,1680.721,4.34644,10.798,0.837,1.0,0.902
F47,176.83676,0.393,0.738,1.911,100412,3993065,6197.405,16.20228,34.396,0.769,0.997,0.634
F48,178.83377,0.393,0.738,2.171,95109,3760819,5573.659,17.0641,31.308,0.804,0.988,0.756
F49,180.83063,0.032,0.738,1.911,33534,1811009,3060.199,10.9581,20.32,0.763,1.0,0.634
F50,183.91409,0.032,0.738,1.738,7436,408018,1972.467,3.76979,14.508,0.767,1.0,0.61
F51,185.8747,0.032,0.738,1.911,50977,2772687,1997.245,25.52341,27.845,0.771,1.0,0.634
F52,186.87486,0.393,0.738,2.43,9794,389683,1502.87,6.51702,18.075,0.807,0.983,0.634
F53,195.90592,0.032,0.738,1.289,50820,2248906,7227.527,6.98253,37.887,0.791,0.987,0.61
F54,204.86398,0.032,0.738,2.43,5307,227960,1.0,5306.737,14.035,0.816,1.0,0.649
F55,205.83942,0.393,0.738,1.911,78919,2878877,1909.184,41.33637,37.522,0.757,0.995,0.61
F56,206.9216,0.393,0.738,0.997,4175,108329,1.0,3088.84,11.644,0.817,0.998,0.577
F57,206.97241,0.393,0.738,1.738,70543,2908558,17300.8,4.07743,28.263,0.76,1.0,0.61
F58,207.83634,0.393,0.738,1.911,71897,2671777,3059.667,23.49843,41.588,0.788,0.992,0.61
F59,208.8378,0.393,0.738,1.186,3058,105171,1.0,2764.107,6.344,0.526,0.981,0.488
F60,208.93563,0.032,0.738,1.392,39783,2546672,3113.309,12.63125,20.256,0.802,0.994,0.756
F61,209.83356,0.393,0.738,1.911,26989,935675,1.0,26988.83,21.236,0.774,0.995,0.625
F62,212.95733,0.393,0.738,1.825,16128,660676,3433.524,4.69715,21.985,0.774,0.992,0.634
F63,215.87931,0.393,0.738,1.652,13565,442711,2290.763,5.9215,24.05,0.643,1.0,0.488
F64,217.86576,0.393,0.738,1.911,11645,415745,1757.392,6.62639,19.474,0.693,1.0,0.456
F65,220.83396,0.032,0.738,2.344,9066,504003,1926.603,4.70584,13.639,0.763,1.0,0.634
F66,221.98766,0.393,0.738,1.652,9484,355003,3587.251,2.6438,18.975,0.711,0.976,0.488
F67,222.82955,0.393,0.738,1.911,134606,5252571,7545.953,17.83821,42.727,0.763,0.997,0.634
F68,223.96252,0.393,0.738,1.738,13694,537267,7950.815,1.7224,20.332,0.769,1.0,0.61
F69,224.82647,0.393,0.738,1.911,134449,5207671,7622.147,17.6392,42.26,0.776,0.992,0.634
F70,226.8236,0.48,0.738,2.344,42380,1518022,3181.373,13.32131,21.464,0.745,0.991,0.695
F71,227.851,0.393,0.738,1.911,1469,47429,1.0,1468.944,6.456,0.722,0.972,0.61
F72,229.8819,0.032,0.738,1.911,15858,896038,1125.923,14.08427,18.888,0.768,1.0,0.634
F73,233.87722,0.032,0.738,1.392,4387,204208,1.0,4387.047,12.215,0.785,0.996,0.634
F74,240.90175,0.032,0.738,1.998,21573,745688,1183.583,18.22713,26.225,0.976,0.987,0.924
F75,249.84793,0.032,0.738,2.43,27036,1285568,1666.458,16.22341,25.221,0.815,0.997,0.634
F76,255.23232,0.393,0.738,1.376,16255,705210,2527.691,6.17301,13.18,0.771,0.996,0.756
F77,269.93553,0.393,0.738,1.479,1912,81912,1.0,1911.517,10.096,0.841,0.986,0.78
F78,274.89184,0.032,0.738,1.565,2138,94382,1.0,2138.397,7.251,0.874,0.996,0.924
F79,275.82325,0.032,0.738,1.565,1573,85412,1.0,1573.38,6.495,0.715,0.991,0.456
F80,279.85517,0.393,0.738,1.911,3615,135205,1.0,3614.889,7.477,0.811,1.0,0.8
F81,283.94143,0.032,0.738,1.911,2368,115994,1.0,2368.057,11.397,0.91,1.0,0.861
F82,309.85701,0.032,0.738,2.171,2784,159603,1.0,2783.786,12.234,0.527,0.996,0.199
F83,319.88787,0.032,0.738,2.084,3024,163533,1.0,3023.839,9.405,0.848,0.993,0.649
F84,326.85152,0.221,0.738,2.43,2612,82881,1.0,2611.684,9.375,0.794,0.975,0.577
F85,343.83596,0.135,0.738,2.43,2054,97158,2081.01,0.98716,12.732,0.735,0.961,0.838
F86,355.8542,0.032,0.738,1.911,1127,29339,1.0,1126.58,5.742,0.699,1.0,0.5
F87,87.92505,0.393,0.825,1.565,19993,702012,1376.237,14.52741,19.896,0.712,0.989,0.444
F88,89.92517,0.032,0.825,1.911,1564,64499,1.0,1564.369,6.501,0.857,1.0,0.625
F89,91.91184,0.032,0.825,1.911,4551,205697,496.573,9.16461,10.25,0.799,1.0,0.466
F90,92.91972,0.032,0.825,1.083,8596,443870,930.942,6.83939,8.274,0.618,1.0,0.366
F91,101.94064,0.032,0.825,1.911,11611,538732,1423.606,8.15622,17.978,0.71,1.0,0.444
F92,103.92009,0.393,0.825,1.652,50019,1749124,2884.285,17.342,31.575,0.683,0.982,0.333
F93,104.92787,0.393,0.825,1.479,14467,518107,1358.444,10.64936,16.146,0.692,0.982,0.444
F94,117.93582,0.032,0.825,2.43,6975,333710,1976.118,3.52959,9.933,0.861,0.982,0.577
F95,122.89398,0.393,0.825,2.43,96709,3694804,13174.76,7.34045,33.547,0.731,0.997,0.565
F96,124.89101,0.032,0.825,1.911,30414,1557356,3950.77,7.69824,23.755,0.716,0.999,0.456
F97,135.90167,0.393,0.825,1.652,6430,251812,954.736,6.73455,11.271,0.807,0.954,0.375
F98,137.89859,0.566,0.825,1.825,2400,67767,807.779,2.97066,10.896,0.951,0.972,0.716
F99,141.868,0.032,0.825,2.43,204301,12162530,39227.66,5.20808,50.203,0.687,0.999,0.456
F100,142.86861,0.393,0.825,1.998,8227,316250,2529.314,3.25262,8.03,0.746,0.938,0.456
F101,143.86497,0.393,0.825,1.911,129732,5338304,24902.37,5.20961,40.732,0.68,0.997,0.456
F102,144.92282,0.221,0.825,1.825,4401,168772,1764.576,2.4941,15.088,0.755,1.0,0.466
F103,146.9386,0.032,0.825,2.084,26383,1227310,1466.957,17.98493,23.159,0.676,1.0,0.444
F104,147.8917,0.032,0.825,1.911,3057,169112,1.0,3056.556,11.428,0.661,1.0,0.444
F105,149.91305,0.032,0.825,1.911,8694,391277,1.0,8694.477,13.677,0.718,1.0,0.466
F106,155.86814,0.135,0.825,2.344,2094,103798,1.0,2093.597,7.868,0.774,0.985,0.695
F107,159.85986,0.393,0.825,1.998,16604,619176,1182.29,14.04354,15.564,0.827,1.0,0.578
F108,165.84388,0.032,0.825,1.289,8867,477959,1.0,8575.341,11.775,0.6,1.0,0.435
F109,168.88692,0.393,0.825,1.392,137128,5255714,19453.12,7.04917,47.011,0.718,0.994,0.456
F110,169.88698,0.48,0.825,1.738,4050,140733,1115.305,3.63165,9.144,0.848,0.989,0.716
F111,170.88391,0.032,0.825,1.186,45442,2497884,7387.792,4.42152,21.587,0.768,0.97,0.716
F112,177.84452,0.48,0.825,1.738,24820,893172,2177.256,11.39978,19.203,0.855,0.997,0.716
F113,179.84129,0.032,0.825,1.289,24826,1510505,2179.694,11.19668,20.516,0.79,0.983,0.634
F114,179.98095,0.032,0.825,1.825,11832,637993,4277.342,2.76628,20.816,0.671,0.991,0.435
F115,182.82785,0.48,0.825,1.825,3794,127839,1.0,3794.126,8.532,0.704,0.97,0.304
F116,187.8608,0.393,0.825,2.084,113922,4764790,26681.83,4.26965,43.859,0.666,0.997,0.456
F117,188.86147,0.135,0.825,1.911,7295,333629,1242.213,5.87279,17.22,0.73,0.983,0.456
F118,190.92827,0.032,0.825,2.344,15563,742551,1667.853,9.33098,18.547,0.735,1.0,0.466
F119,193.95157,0.48,0.825,1.738,17773,745362,5555.827,3.19903,18.201,0.538,1.0,0.435
F120,203.85596,0.393,0.825,1.911,12564,456024,2364.128,5.31448,23.891,0.768,0.998,0.634
F121,206.84141,0.032,0.825,1.911,3151,152160,1.0,3151.016,7.1,0.81,1.0,0.625
F122,207.9308,0.393,0.825,1.825,28438,1030084,4823.611,5.89554,27.309,0.685,0.98,0.456
F123,211.83057,0.393,0.825,1.825,3336,112993,1.0,3336.197,9.372,0.93,0.982,0.6
F124,212.88412,0.032,0.825,2.171,9690,480768,2021.515,4.79345,18.184,0.691,0.987,0.456
F125,213.88416,0.393,0.825,1.652,13894,460319,1940.858,7.15843,22.165,0.49,0.978,0.435
F126,214.87976,0.032,0.825,1.479,104051,5591329,11090.72,9.38184,34.661,0.523,1.0,0.326
F127,215.86799,0.032,0.825,2.084,15358,760154,1265.735,12.13343,25.382,0.685,1.0,0.456
F128,216.87689,0.393,0.825,1.825,39526,1501631,3687.44,10.71922,23.675,0.72,0.994,0.456
F129,219.85535,0.566,0.825,1.652,14186,461764,4553.061,3.1157,18.43,0.505,1.0,0.435
F130,225.84529,0.566,0.825,1.652,8502,266751,1.0,8501.535,11.421,0.917,1.0,0.716
F131,228.95999,0.393,0.825,1.825,46556,2133196,16630.25,2.79949,24.881,0.695,1.0,0.456
F132,231.87908,0.393,0.825,1.911,9453,368812,1086.604,8.69961,14.538,0.869,0.994,0.861
F133,235.92592,0.393,0.825,2.344,17885,763952,1381.818,12.94314,16.932,0.712,0.967,0.565
F134,237.89722,0.393,0.825,1.911,3551,121424,1.0,3550.859,13.622,0.698,0.963,0.524
F135,239.90303,0.032,0.825,1.479,15279,771772,1980.177,7.71618,19.057,0.688,1.0,0.444
F136,241.89873,0.393,0.825,1.911,53464,1826682,2561.074,20.87565,35.765,0.699,1.0,0.444
F137,243.89905,0.393,0.825,1.825,28439,1055621,2295.16,12.39068,22.947,0.698,0.985,0.435
F138,245.89443,0.393,0.825,2.171,11199,405657,1872.052,5.98231,16.681,0.819,0.989,0.756
F139,246.86377,0.032,0.825,2.171,4410,249598,1645.304,2.68035,14.177,0.717,0.989,0.565
F140,251.84577,0.393,0.825,1.911,15095,546467,1.0,15095.18,16.212,0.818,1.0,0.756
F141,254.93937,0.032,0.825,1.186,8547,460891,955.373,7.11602,10.605,0.464,1.0,0.109
F142,266.84931,0.48,0.825,2.43,5247,173250,1.0,5246.634,7.631,0.698,0.989,0.466
F143,267.847,0.393,0.825,2.344,9483,373051,1495.595,6.3406,15.263,0.721,0.992,0.456
F144,282.84045,0.566,0.825,1.911,11072,368978,2277.266,4.86216,11.648,0.853,1.0,0.78
F145,283.85431,0.135,0.825,1.911,2288,124814,1.0,2288.284,6.804,0.618,0.86,0.313
F146,284.83733,0.566,0.825,2.43,8097,268308,1431.306,5.6574,9.727,0.804,0.997,0.756
F147,285.90773,0.48,0.825,1.565,3372,117083,841.211,4.00792,10.403,0.846,1.0,0.902
F148,307.8569,0.393,0.825,1.911,3174,118978,1.0,3173.74,6.847,0.733,1.0,0.444
F149,311.85469,0.393,0.825,1.652,1932,77387,1.0,1932.183,8.712,0.844,0.994,0.372
F150,313.93747,0.393,0.825,1.565,4199,165497,1.0,4199.307,11.077,0.729,1.0,0.466
F151,317.84747,0.221,0.825,1.911,1622,58379,1.0,1621.902,7.735,0.718,1.0,0.466
F152,320.88743,0.48,0.825,2.084,3034,94451,1.0,3033.528,8.343,0.817,1.0,0.71
F153,323.84753,0.032,0.825,1.186,1773,48381,1.0,1773.322,8.036,0.841,0.973,0.673
F154,324.84667,0.393,0.825,2.344,1744,68250,1.0,1744.007,9.488,0.713,0.937,0.948
F155,325.84659,0.393,0.825,1.738,1717,59596,1.0,1717.222,8.964,0.889,1.0,0.716
F156,325.92435,0.48,0.825,2.084,2575,85178,2528.444,1.01848,12.865,0.724,0.987,0.456
F157,327.81965,0.032,0.825,1.911,2207,108851,794.213,2.77897,8.349,0.773,1.0,0.466
F158,341.83416,0.135,0.825,1.825,2737,148802,1.0,2736.608,11.596,0.714,0.962,0.456
F159,342.85078,0.135,0.825,1.652,2183,84232,1.0,2182.506,9.135,0.779,1.0,0.94
F160,344.86366,0.48,0.825,1.652,2626,92954,1.0,2625.655,8.607,0.778,1.0,0.333
F161,345.83307,0.221,0.825,1.825,1132,43938,1.0,1131.829,7.742,0.824,0.993,0.954
F162,352.85178,0.393,0.825,1.083,2326,73009,1.0,1213.492,7.636,0.66,0.998,0.333
F163,415.64471,0.393,0.825,1.911,3094,101951,1.0,3093.697,9.018,0.628,0.986,0.435
F164,189.85782,0.566,0.911,1.911,76435,2529073,13640.94,5.60339,33.142,0.688,1.0,0.456
F165,248.92203,0.135,0.911,1.392,4084,240173,853.579,4.31698,8.421,0.502,0.998,0.217
F166,250.84917,0.393,0.911,1.911,1733,54900,1.0,1732.798,6.516,0.736,0.996,0.399
F167,253.82605,0.652,0.911,2.171,9610,270908,2150.705,4.46838,14.322,0.745,0.993,0.695
F168,256.82141,0.652,0.911,1.825,12019,347463,1428.06,8.41659,9.77,0.617,0.945,0.358
F169,260.81547,0.566,0.911,2.43,4593,148013,1.0,4592.645,6.718,0.648,0.975,0.548
F170,261.81256,0.652,0.911,1.738,6752,195928,2061.078,3.27619,20.39,0.723,1.0,0.797
F171,263.85174,0.652,0.911,1.825,23662,683940,2157.466,10.96751,21.348,0.789,0.992,0.884
F172,273.82909,0.48,0.911,1.911,1643,57442,1.0,1643.339,7.043,0.81,0.998,0.466
F173,297.82205,0.48,0.911,1.911,2193,72404,879.265,2.4939,8.573,0.612,0.984,0.313
F174,298.83233,0.566,0.911,2.171,4005,131452,1.0,4005.037,10.145,0.685,0.995,0.529
F175,329.83873,0.032,0.911,1.911,1546,58377,1.0,1546.205,7.323,0.667,0.969,0.319
F176,191.94613,0.135,1.083,1.392,84652,4807982,7756.877,9.70936,26.1,0.656,1.0,0.274
F177,130.96608,0.135,1.17,1.738,313721,7712760,5845.973,53.57728,87.645,0.857,0.999,0.729
F178,131.9788,0.825,1.17,3.036,85615,1453233,5305.879,16.13595,54.105,0.689,0.992,0.726
F179,175.96861,0.825,1.17,1.565,337945,5768797,3783.497,89.19289,139.994,0.803,0.995,0.797
F180,288.93643,0.825,1.17,1.911,980456,16718007,7046.077,139.1491,245.046,0.785,1.0,0.463
F181,289.94866,0.825,1.17,1.911,582644,9617954,3875.817,150.3282,211.551,0.766,0.993,0.797
F182,290.94925,0.393,1.17,1.911,149213,2516845,3610.945,41.32241,137.172,0.778,1.0,0.797
F183,291.94678,0.221,1.17,2.69,150728,2522032,11607.28,12.98564,91.61,0.93,0.998,0.797
F184,292.9478,0.738,1.17,1.392,28766,481671,1.0,28539.68,52.629,0.631,0.997,0.598
F185,293.94457,0.032,1.17,2.344,15347,257560,6465.482,2.37363,25.902,0.794,1.0,0.398
F186,304.91365,0.393,1.17,2.344,321813,5762336,1784.144,180.3737,144.705,0.837,0.999,0.797
F187,305.92619,0.825,1.17,1.825,120832,2025292,7539.359,16.02682,89.41,0.748,0.991,0.797
F188,306.93875,0.825,1.17,1.479,80467,1347290,1899.417,42.36381,78.442,0.675,0.998,0.797
F189,307.9395,0.48,1.17,1.652,27038,476402,5241.091,5.15887,53.297,0.738,1.0,0.463
F190,308.93688,0.566,1.17,2.171,24622,462952,1.0,24621.8,45.014,0.665,1.0,0.478
F191,321.90371,0.825,1.17,1.911,25273,453995,2128.239,11.87518,37.28,0.663,0.992,0.463
F192,322.91624,0.566,1.17,2.171,17133,308692,1.0,17132.5,35.479,0.651,1.0,0.478
F193,323.90968,0.652,1.17,1.652,3136,80884,2005.409,1.56375,11.011,0.655,0.99,0.411
F194,358.94378,0.393,1.17,1.825,19383,318792,1.0,19383.43,33.854,0.826,0.988,0.797
F195,359.94544,0.032,1.17,2.171,8248,136606,1946.044,4.23839,18.382,0.578,0.996,0.184
F196,360.94168,0.566,1.17,2.171,8805,144557,1.0,8804.871,23.49,0.666,1.0,0.861
F197,374.92136,0.825,1.17,2.084,10774,177308,1.0,10773.74,28.097,0.872,0.99,0.749
F198,376.9173,0.825,1.17,2.344,10097,170366,1.0,10097.19,24.329,0.791,0.995,0.57
F199,386.939,0.032,1.17,2.084,216946,3623236,2847.012,76.20121,120.248,0.79,0.989,0.797
F200,387.93993,0.135,1.17,2.171,103235,1715855,1769.18,58.352,80.124,0.873,0.997,0.797
F201,388.93728,0.135,1.17,1.911,103527,1731247,2451.695,42.22656,78.946,0.849,0.984,0.797
F202,389.93805,0.566,1.17,1.479,34288,568532,4858.955,7.05674,41.083,0.648,0.987,0.398
F203,390.93519,0.032,1.17,2.171,19104,316687,1556.36,12.27455,37.939,0.64,0.995,0.749
F204,402.91641,0.032,1.17,1.565,639711,10566744,1877.263,340.7677,205.148,0.756,0.998,0.797
F205,403.9182,0.032,1.17,1.998,202115,3332332,5214.472,38.76033,115.101,0.841,1.0,0.797
F206,404.9151,0.032,1.17,2.171,184258,3054105,2563.93,71.8656,110.269,0.757,0.998,0.797
F207,406.91167,0.135,1.17,1.998,30327,506996,2521.65,12.02655,42.427,0.785,1.0,0.688
F208,407.91221,0.48,1.17,1.911,5966,97483,3639.139,1.63946,24.469,0.714,1.0,0.347
F209,418.89395,0.032,1.17,1.565,425525,7040472,1.0,425525.5,167.244,0.757,1.0,0.797
F210,420.89221,0.825,1.17,2.171,70427,1161517,1.0,70427.32,80.709,0.819,1.0,0.797
F211,421.90347,0.032,1.17,2.171,19050,308476,4860.388,3.91936,34.593,0.771,0.997,0.797
F212,422.88685,0.825,1.17,1.825,21030,352288,1.0,21029.81,43.004,0.857,0.997,0.797
F213,434.87123,0.825,1.17,1.565,107368,1777603,1.0,107367.9,87.443,0.844,0.998,0.797
F214,436.87744,0.825,1.17,1.911,7713,128322,1.0,7713.081,23.296,0.596,0.998,0.688
F215,442.89611,0.825,1.17,1.911,5432,89676,3228.381,1.68257,23.831,0.769,0.987,0.688
F216,474.92191,0.221,1.17,1.998,18901,313747,6643.128,2.84518,33.197,0.736,0.989,0.688
F217,488.9014,0.221,1.17,1.998,41805,686942,1.0,41805.35,56.485,0.875,0.997,0.797
F218,490.89998,0.032,1.17,2.171,23651,388325,3648.403,6.48252,37.254,0.793,0.997,0.797
F219,500.91868,0.032,1.17,2.43,86592,1438337,1.0,86591.63,76.227,0.737,0.997,0.688
F220,517.89804,0.307,1.17,1.911,121132,1993492,4126.622,29.3538,88.197,0.851,0.999,0.797
F221,518.8953,0.221,1.17,1.738,122878,2012982,1377.91,89.17734,88.495,0.758,1.0,0.463
F222,519.89708,0.393,1.17,1.738,45161,743197,5240.758,8.61729,54.531,0.768,0.985,0.463
F223,520.89408,0.032,1.17,2.69,26405,433112,9430.499,2.79999,53.315,0.862,1.0,0.797
F224,521.89352,0.135,1.17,1.911,8824,145242,4407.411,2.00211,30.452,0.809,0.996,0.797
F225,536.86984,0.032,1.17,2.257,22444,374522,1.0,22443.84,39.575,0.801,1.0,0.797
F226,548.85138,0.032,1.17,2.257,154061,2535670,1896.008,81.25543,100.982,0.857,1.0,0.797
F227,550.8509,0.032,1.17,2.257,28993,475208,1129.266,25.67393,43.008,0.725,0.998,0.688
F228,552.84496,0.738,1.17,2.43,12725,211631,1.0,12724.62,31.06,0.652,1.0,0.749
F229,553.84829,0.307,1.17,1.998,2521,46909,1.0,2520.568,12.685,0.655,0.992,0.918
F230,565.84081,0.566,1.17,1.998,10960,176666,1.0,10959.96,25.513,0.756,0.999,0.463
F231,574.85387,0.393,1.17,1.825,3906,64629,1.0,3906.067,19.339,0.716,0.996,0.749
F232,586.9039,0.135,1.17,1.998,6045,99841,1.0,6045.439,19.264,0.825,1.0,0.749
F233,588.9031,0.221,1.17,1.998,6015,99888,1.0,6014.558,24.186,0.759,0.989,0.749
F234,590.89823,0.135,1.17,2.171,2413,39846,1.0,2412.596,19.249,0.73,1.0,0.918
F235,600.86036,0.221,1.17,1.998,4422,71379,1.0,4422.458,17.304,0.696,0.989,0.749
F236,603.88298,0.825,1.17,1.911,20014,331797,1.0,20013.74,36.865,0.842,1.0,0.797
F237,606.87898,0.307,1.17,1.911,6639,108790,1.0,6638.705,27.319,0.831,0.993,0.797
F238,614.8988,0.221,1.17,1.998,13665,224422,1.0,13664.51,30.966,0.729,0.987,0.749
F239,616.89778,0.135,1.17,2.171,12844,210619,1.0,12843.55,32.151,0.722,0.997,0.749
F240,633.87704,0.307,1.17,1.911,16408,269001,1.0,16408.16,32.967,0.813,0.998,0.797
F241,634.83663,0.825,1.17,2.344,40821,666515,1.0,40821.33,58.492,0.884,0.998,0.797
F242,646.85403,0.135,1.17,2.171,67324,1101296,1.0,67323.59,67.872,0.892,0.999,0.797
F243,648.8532,0.135,1.17,2.171,36783,607253,1.0,36783.23,49.832,0.9,0.999,0.797
F244,650.81503,0.135,1.17,2.171,10548,172263,1.0,10548.49,31.599,0.752,1.0,0.918
F245,651.82417,0.221,1.17,1.998,5096,82545,1.0,5096.354,19.275,0.827,1.0,0.797
F246,663.83421,0.032,1.17,2.171,29819,488453,1.0,29819.36,43.826,0.856,0.998,0.797
F247,664.83067,0.307,1.17,2.084,26394,434127,896.983,29.42571,43.386,0.745,0.996,0.688
F248,666.82558,0.032,1.17,2.257,8467,138103,1.0,8466.518,28.417,0.697,1.0,0.918
F249,667.82702,0.032,1.17,2.43,3006,49614,1.0,3006.221,15.804,0.808,1.0,0.749
F250,670.84951,0.307,1.17,2.084,3550,64627,1.0,3549.767,14.237,0.797,0.993,0.749
F251,678.80895,0.032,1.17,2.257,41094,672269,1.0,41094.5,53.238,0.848,1.0,0.797
F252,680.80958,0.825,1.17,2.43,8590,142044,1.0,8590.379,28.082,0.826,0.998,0.749
F253,689.84125,0.393,1.17,1.825,2425,37554,1.0,2425.374,17.941,0.742,0.988,0.463
F254,690.84327,0.738,1.17,2.171,4665,75657,1.0,4665.091,18.804,0.708,1.0,0.749
F255,694.78748,0.825,1.17,2.171,8932,147392,1.0,8931.92,30.254,0.784,0.994,0.918
F256,695.79613,0.738,1.17,1.911,3230,52656,1.0,3230.255,20.519,0.812,0.995,0.797
F257,696.85534,0.48,1.17,1.738,3821,62689,1.0,3820.803,20.559,0.74,1.0,0.688
F258,697.85127,0.135,1.17,2.084,2881,47481,1.0,2880.844,18.333,0.814,1.0,0.797
F259,698.8379,0.221,1.17,1.998,2916,47822,1.0,2916.15,17.834,0.76,0.984,0.749
F260,699.83473,0.307,1.17,1.998,2657,43778,1.0,2657.245,16.713,0.802,1.0,0.797
F261,702.8112,0.032,1.17,2.43,3601,59577,1.0,3601.005,18.654,0.933,0.996,0.749
F262,702.88021,0.221,1.17,1.998,2478,41044,1.0,2477.812,11.005,0.619,1.0,0.941
F263,704.84352,0.221,1.17,1.998,7965,129529,1.0,7964.554,29.942,0.77,0.996,0.749
F264,706.83548,0.307,1.17,2.084,4324,71972,1.0,4324.459,17.783,0.791,0.995,0.918
F265,707.81911,0.825,1.17,2.084,3291,55045,1.0,3290.603,14.583,0.817,0.988,0.918
F266,712.83116,0.393,1.17,1.738,7713,125660,1.0,7712.61,23.758,0.718,0.993,0.688
F267,713.83251,0.221,1.17,1.998,5599,91625,1.0,5598.715,20.347,0.773,0.999,0.688
F268,714.83393,0.652,1.17,2.171,4271,76091,1.0,4271.136,17.848,0.864,0.992,0.749
